
"Regional gross disposable household income (GDHI) at current basic prices"
"ONS Crown Copyright Reserved [from Nomis on 30 November 2025]"
"Analysis   :","standard"
"Component of GDHI:","Gross Disposable Household Income (GDHI)"
"Measure    :","GDHI per head (£)"

"local authority: district / unitary (as of April 2023)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Bury",10455,10544,11052,11688,12070,12277,12496,13042,13484,13878,14446,14582,14760,14922,14978,15363,15995,16501,17296,17291,17553,18087,18615,18764,19280,20475,22248
"Manchester",7206,7480,8136,8476,8860,9220,9378,9730,10103,10455,10752,10994,11612,11662,11827,12231,12464,12944,13666,13860,14653,15169,15768,16311,17030,17830,18945
"Oldham",8088,8213,8741,9112,9435,9664,9914,10308,10584,11029,11427,11554,11943,12085,12185,12657,13050,13407,13786,13819,13964,14576,15237,15339,15795,16683,18084
"Rochdale",8354,8413,9011,9354,9729,9921,10142,10553,10832,11241,11689,11786,12277,12376,12549,13134,13537,13941,14410,14477,14703,15018,15663,15983,16298,17108,18515
"Salford",10531,10742,11267,11744,11994,12243,12666,13239,13655,13989,14474,14638,14829,14727,14808,15188,15492,15666,16662,16538,16914,16775,17329,17669,18477,19527,21128
"Stockport",10794,10827,11530,12200,12446,12751,13211,13455,13850,14404,15020,15249,15786,16114,16266,16762,17491,17981,18935,19400,19798,20593,21259,21294,21899,22954,24864
"Tameside",8241,8378,9081,9399,9646,9831,10197,10467,10878,11284,11658,11844,12492,12574,12819,13259,13638,13978,14546,14877,15362,15703,16200,16429,16757,17884,19444
"Trafford",13096,13053,13805,14572,14921,15201,15425,15834,16251,16699,17208,17356,17605,17684,17786,18323,18947,19262,20857,20902,21562,22890,23828,23353,23953,25776,28557
"Wigan",9528,9587,10142,10571,10993,11160,11524,11859,12115,12576,13023,13078,13494,13544,13689,14262,14653,14896,15049,15079,15723,16116,16677,16964,17254,17945,19357
"Knowsley",7907,7964,8434,8992,9443,9669,10122,10636,11037,11425,12010,12351,12853,13000,13227,13574,13872,14206,14798,15058,15751,15951,16616,17006,17227,17951,19519
"Liverpool",8369,8419,8948,9380,9867,10040,10400,10834,11034,11555,11986,11975,12631,12834,12941,13450,13908,14423,15027,15027,15167,15442,15996,16395,16915,17572,18976
"St. Helens",7831,7957,8422,8999,9476,9701,10050,10604,11080,11557,12193,12477,12973,13159,13247,13673,14007,14328,14963,15336,15970,16494,17146,17328,17467,18524,20225
"Sefton",11212,11446,11768,11629,11468,11875,12237,12643,13224,13459,13950,14244,15046,15198,15306,15887,16500,16560,17222,17430,17705,17929,18499,18770,19236,20307,21904
"Wirral",10044,10327,10853,11391,11826,12281,12744,12970,13125,13380,14140,14470,15045,15189,15222,15736,16327,16705,17241,17335,17683,18237,18877,18826,19238,20218,22005
"Kingston upon Hull, City of",7351,7557,8096,8763,9273,9497,9644,9831,10010,10133,10525,10756,11265,11441,11774,12011,12145,12512,12895,13070,13449,13893,14244,14699,15173,15910,17001
"East Riding of Yorkshire",10444,10587,11458,11613,11673,12055,12592,13187,13703,14281,14639,14817,15249,15415,15705,16039,16404,16796,17907,17989,18579,19412,19949,20001,20613,21759,23705
"North East Lincolnshire",8780,9068,9357,9589,9991,10232,10606,11082,11355,11780,12564,12662,12815,12970,13417,13858,14027,14366,14915,15184,15764,16138,16732,17224,17409,18296,19796
"North Lincolnshire",9350,9653,9937,10176,10653,10886,11328,11705,11889,12174,12794,12763,12806,12808,13278,13730,13921,14203,14742,14952,15506,16164,16724,16997,17347,18362,19950
"York",10392,10970,11766,12026,12567,13016,13071,12776,13032,13654,14475,14552,15085,15153,15288,16008,16449,17114,17937,18080,18758,19599,20229,20327,21010,21955,23553
"North Yorkshire",11382,12021,12241,12233,12670,13115,13539,14059,14833,15741,16221,16594,17292,17153,17423,18005,18523,18783,19999,20061,20667,21615,22231,22123,22940,24175,26697
"Barnsley",8863,9026,9549,10083,10475,10684,11090,11404,11673,12041,12549,12597,12960,13129,13467,13868,14267,14827,15263,15403,15933,16416,17092,17460,17885,18863,20404
"Doncaster",8526,8751,9247,9765,10114,10263,10757,11101,11430,11797,12334,12386,12626,12812,13106,13595,14090,14681,15257,15414,15933,16363,16819,17027,17607,18469,19922
