
"Regional gross disposable household income (GDHI) at current basic prices"
"ONS Crown Copyright Reserved [from Nomis on 30 November 2025]"
"Analysis   :","standard"
"Component of GDHI:","Gross Disposable Household Income (GDHI)"
"Measure    :","GDHI per head (£)"

"local authority: district / unitary (as of April 2023)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Harlow",8393,8356,8965,9118,9711,10102,10346,10796,11139,11438,11666,12130,12986,12841,13199,13646,13734,14024,14913,15460,16607,17326,18069,18469,18292,19606,21411
"Maldon",12711,12524,13017,13316,13701,13910,14105,14540,15052,15455,15894,16598,17146,17221,17513,18016,18744,19272,20388,21154,21927,22201,22384,22558,23704,24801,26820
"Rochford",12465,12395,12921,13384,14022,14262,14603,15043,15547,15842,16396,16853,17250,17341,17457,17950,18434,18921,20093,20626,21329,22296,22750,22585,22999,24443,26459
"Tendring",8886,8940,9566,9888,10414,10752,11055,11497,11991,12373,12893,13605,14381,14655,15024,15587,16097,16518,17313,17605,18192,18743,19138,19570,20119,21339,23116
"Uttlesford",15290,15445,16215,17086,17639,17786,17883,18619,19391,19667,20242,20794,20720,20288,20467,21278,21719,22079,24366,24573,26161,27974,28235,27308,25893,29373,33280
"Broxbourne",11319,11669,11779,12432,13065,13396,13686,14006,14354,14963,15627,15989,16826,16841,16948,17634,18509,19088,20274,20595,21182,21734,22340,21996,22721,24023,25744
"Dacorum",12209,12599,12932,13927,14683,15065,15370,15867,16447,17314,18351,18785,19287,19128,19167,19923,21025,21912,23351,23266,23955,24855,25037,24875,26328,27683,30369
"Hertsmere",14609,15173,15482,16466,17269,17690,18026,18727,19406,20313,21467,21890,21928,21960,22006,22836,24243,25424,27250,27078,27497,29600,29416,28678,31644,33911,37246
"North Hertfordshire",12918,13414,13731,14795,15508,15739,15978,16279,16824,17610,18574,19003,19427,19464,19427,20260,21305,22091,23604,23665,24066,24898,25334,25286,25610,26845,29099
"Three Rivers",14889,15638,15522,16606,17693,17807,18049,18625,19303,20319,21540,22005,22125,22373,22490,23334,24795,25690,27507,27237,27735,28192,29037,28422,29923,32630,36455
"Watford",11347,11652,12128,12957,13852,14302,14543,14877,15249,16076,16855,16955,17693,17278,17160,17740,18313,18758,19743,20195,20725,21278,21865,21889,22543,24050,26109
"Breckland",8960,9161,9319,9725,10258,10369,10689,10987,11356,11486,12038,12553,13005,13451,13783,14455,14717,15055,15795,16299,17048,17869,18397,18563,19059,20114,21834
"Broadland",11772,11781,11945,12544,13096,13235,13478,13816,14317,14402,15313,15944,16057,16697,17040,17608,18049,18641,19978,19595,20056,20502,20833,20590,21067,22483,24571
"Great Yarmouth",8640,8710,8949,9215,9696,9747,10019,10298,10522,10572,11104,11620,12207,12520,12890,13531,13742,14087,14880,14580,14962,15642,16102,16788,17825,18376,19700
"King's Lynn and West Norfolk",9183,9376,9750,10198,10840,10932,11207,11477,11881,11949,12572,13211,13653,14107,14505,15034,15533,15803,16348,16436,17089,17906,18619,18788,19393,20421,22290
"North Norfolk",9369,9524,9814,10325,11026,11347,11703,11905,12361,12591,13197,13938,14585,15418,15688,16233,16955,17243,18163,18356,19070,20249,21245,20465,20710,22191,24122
"Norwich",8991,9244,9647,10076,10640,10861,11224,11456,11735,11769,12416,12937,13373,13619,13926,14413,14454,14799,15549,15128,15452,15657,16578,16572,17219,17940,19424
"South Norfolk",11215,11422,11676,12259,12899,12932,13201,13547,14093,14334,15095,15569,15643,15948,16180,16773,17101,17488,18542,19049,19675,20305,20909,20774,21585,22527,24378
"Babergh",10947,10918,11265,12106,12567,12940,13135,13681,14240,14650,15213,16077,16672,16981,16994,17833,18444,18996,20121,20293,20784,21596,21977,21770,23328,24459,26268
"Ipswich",9746,9751,10207,10948,11524,11884,12169,12489,12662,13008,13401,13997,14436,14520,14494,14814,15125,15445,15930,16172,16530,16789,17352,17846,18392,19095,20728
"Mid Suffolk",11078,11143,11296,12253,12584,12943,13215,13749,14168,14451,14824,15626,16051,16121,16076,16834,17458,17928,19115,19349,19855,20646,21010,20797,21751,23205,25269
"St Albans",15565,16158,16511,17766,18763,18999,19253,19666,20323,21231,22416,22780,23347,23358,23318,24402,25625,26753,28449,28633,29378,31014,32197,30893,32820,34990,38321
"Welwyn Hatfield",12360,12801,13020,13950,14784,15203,15361,15656,15795,16310,17112,17589,18078,17951,17989,18844,19815,20726,21853,21855,22068,22474,23308,22709,23821,25373,27671
"East Hertfordshire",14016,14404,14827,15884,16619,16913,17157,17614,18216,19013,20079,20555,20964,21023,21073,21895,23163,24046,25577,25647,26110,27465,28262,27551,28189,29817,32373
"Stevenage",8956,9288,9601,10128,10837,11205,11404,11795,12172,12798,13396,13573,14549,14300,14384,15069,15761,16362,17069,17374,17807,18343,19100,19624,19879,20380,21903
"East Suffolk",9763,9925,10198,10965,11452,11733,12146,12681,13156,13538,13994,14939,15536,15707,15875,16598,17182,17754,18907,18951,19285,20023,20196,20181,21027,22404,24545
"West Suffolk",9481,9540,9957,10771,11748,12067,12234,12779,13184,13547,14035,14856,15189,15161,15024,15753,16360,16753,17716,17980,18137,19017,19775,19622,20227,21303,22797
"City of London",88088,97368,90725,95493,94544,95761,101715,109794,122519,131402,139624,152653,150919,145656,140180,149092,166646,172824,184714,193033,195763,211115,189922,170777,169596,144079,129429
"Barking and Dagenham",8534,8773,9189,9590,10262,10632,11256,11834,12209,12561,13196,13502,13596,13597,13621,14308,14435,14771,15242,15630,15971,16804,17300,17751,18319,19492,21179
"Barnet",12300,12941,13623,14692,15245,15635,16443,17077,18080,18849,20009,20596,20274,20677,20727,22180,23219,24365,27030,27854,28390,29842,30183,29341,31368,33473,36880
"Bexley",11275,11350,11794,12299,13129,13350,13883,14372,14796,15162,16013,16379,16537,16824,16846,17783,18309,18847,20009,20566,20583,21631,22046,21902,22731,23976,25722
"Brent",10648,11066,11885,12625,13203,13699,14457,15044,15978,16431,17358,17790,17921,18152,18167,19291,20101,20937,22327,22586,22845,23993,24060,23858,25382,27396,29569
"Bromley",13351,13913,14610,15538,16115,16322,17263,18310,19123,19651,20716,20946,20597,21005,21325,22481,23305,24238,25829,26066,26243,27666,27961,27414,28925,31237,34399
"Camden",16235,17994,19142,21009,20979,20988,21520,23273,25607,28092,31240,33850,33712,32711,31105,34177,37831,39450,43415,44879,46942,51256,53723,52249,56989,56704,61657
"Croydon",9879,10231,11007,11848,12488,12871,13661,14483,15180,15693,16648,16993,16841,17166,17312,18249,18810,19244,20617,20980,21353,22651,23044,22872,23771,25146,27096
"Ealing",12672,12966,13663,14375,14980,15300,16098,16641,17330,17850,18835,19347,19279,19718,19800,20898,21910,23003,24597,24620,24231,25087,25448,25186,26257,28014,30437
"Enfield",10591,10967,11346,12191,12961,13057,13634,14320,14810,15280,16350,16864,16749,16956,16922,18019,18524,19181,20599,21146,21604,22633,22997,22938,24075,25633,27981
"Greenwich",13499,13538,14173,14820,15417,15487,15965,16447,16869,17168,18064,18375,18303,18465,18255,18860,19662,20281,21212,21617,21711,22897,23590,23754,24569,26382,28453
"Hackney",7411,8076,8892,9968,10604,10915,11406,12330,13306,14546,15819,16342,16785,17386,17661,18750,20145,21331,23227,24125,24966,26519,27812,27866,29719,31800,34013
"Hammersmith and Fulham",20653,20792,21907,23530,23614,23074,24049,25714,27726,29744,32483,33832,33586,32728,31341,33007,36184,38429,39654,38958,39337,40999,41594,41174,43561,46050,51554
"Haringey",14043,14297,15208,16124,16536,16732,17198,18169,19207,20270,21540,21637,21566,22213,22424,23671,24067,24950,26545,26188,27461,28873,29532,29229,31745,34179,37746
"Harrow",12520,13197,13890,14805,15491,15837,16641,17116,17784,18167,19360,19881,19406,19873,19966,21112,22137,22709,24340,24820,25282,26329,26159,25424,26668,28550,31249
"Havering",10840,11258,11689,12529,13354,13582,14167,14657,15096,15479,16583,17069,16989,17371,17531,18450,19080,19365,20629,21153,21534,22543,22739,22677,23425,25044,27088
"Hillingdon",9838,10280,11081,11748,12495,12889,13614,14243,14951,15355,16182,16594,16639,16846,16765,17704,18477,18940,20235,20654,20805,21481,21853,21786,22542,23911,25649
"Hounslow",14015,14225,14894,15580,16161,16459,17295,17754,18292,18675,19241,19533,19371,19360,19129,20148,20929,21403,22822,22444,22661,23696,24086,23787,25006,26484,28652
"Islington",16594,16717,18214,19406,19868,20270,20742,21815,22907,24529,26189,26824,26495,27007,26700,28340,28986,30130,32131,31976,32359,34595,35706,35184,37523,38732,41955
"Kensington and Chelsea",34834,34600,35750,37944,37114,36451,37416,40226,43119,48001,54590,58990,58560,56918,56113,61710,68497,74331,78313,79218,81676,87656,88770,86875,92007,98459,110651
"Kingston upon Thames",14360,14545,15272,16223,16607,16770,17547,18359,19020,19469,20706,21073,20803,21224,21298,22580,23507,24087,25600,26156,26281,28166,28334,27955,29413,31230,34234
"Lambeth",11200,11474,12442,13476,13793,14068,14633,15485,16398,17489,18761,19083,19211,19868,19926,20954,21879,22959,25784,27010,26944,28716,29543,29540,31181,32953,35607
"Lewisham",8612,8907,9668,10443,10904,11194,11860,12661,13595,14589,15531,15761,16012,16601,16719,17703,18376,19309,20566,21104,22134,23270,24103,24273,25687,27212,29500
"Merton",15448,15815,16562,17495,17843,18149,19111,20340,21157,21656,22833,23300,22751,23384,23625,24483,25540,26238,27801,28161,28354,29664,30383,29989,31602,33938,37416
"Newham",5710,6238,6999,7938,8546,8870,9637,10547,11710,12789,13506,13669,13818,13844,13755,14557,15245,15774,17050,17962,19021,20299,20959,21110,21575,22726,24233
"Redbridge",11172,11396,11857,12641,13383,13638,14091,14681,15170,15494,16373,16735,16689,16989,16869,17921,18355,18757,20361,20741,21456,22692,22885,22761,23713,25296,27443
"Richmond upon Thames",20886,21222,22041,23466,23898,23898,24574,25222,26290,27347,29315,30260,30001,30501,30502,32344,34225,35252,38195,37485,37899,40843,41271,39173,42551,45042,49666
"Southwark",11192,11605,12431,13411,13735,13999,14718,15591,16609,17566,18739,19126,19156,19827,19940,21046,22075,23485,25088,25660,26721,28640,29248,28934,30749,32460,34635
"Sutton",11719,12050,12697,13595,14051,14282,14976,15796,16563,17048,17961,18275,18011,18402,18585,19553,20177,20506,21868,22154,22226,23410,23601,23193,23931,25284,27343
"Tower Hamlets",13519,13698,14419,15361,15846,15881,16481,17310,18302,19231,20322,20669,20648,20930,20806,21843,22532,23376,25160,26303,26737,27951,28649,28440,28901,29613,31111
"Waltham Forest",10203,10392,11040,11662,12587,12924,13545,14063,14571,14944,15723,15940,16014,16197,16225,17274,17895,18697,19942,20588,21387,22494,23069,23216,24252,25739,28104
"Wandsworth",13896,15432,17107,19096,19679,19572,20114,21738,23953,26059,29072,30210,30242,29171,27830,29390,31678,33957,35843,36503,36736,38913,39584,38487,41314,43967,47804
"Westminster",21191,22093,24042,25914,26306,25966,26682,28632,30817,33835,37991,40903,41448,41238,40080,44164,49703,53573,58852,61527,63045,66351,67216,64479,67441,71011,76381
"Medway",10743,10488,10940,11415,11920,12266,12491,13073,13474,13899,14586,14897,15424,15477,15659,15939,16195,16529,17373,17851,18235,18784,19422,19676,20394,21493,23074
"Bracknell Forest",11701,11909,12191,13005,13333,13643,13959,14318,14885,15653,16673,17036,17437,17322,17590,18290,19071,19367,20327,21008,21683,22381,23135,23184,23913,25260,27124
"West Berkshire",13866,14062,14396,15324,15549,15782,16080,16563,17289,18065,19362,19724,19674,19609,20023,20712,21628,22083,23527,23821,24633,25368,26369,25827,26809,28978,31706
"Reading",11763,11824,12284,13209,13422,13872,14181,14610,14955,15541,16534,16932,17158,16974,17361,17856,18330,18530,19203,19591,20416,20873,22089,21936,22210,23145,24551
"Slough",10559,10675,10918,11526,11828,12228,12698,13100,13392,13767,14355,14483,14535,14254,14419,14876,15495,15634,16201,16601,17309,17886,18523,18476,18749,19784,21205
"Windsor and Maidenhead",17740,18353,18610,19809,19984,20259,20559,20901,21740,22579,24232,24744,24622,24493,24716,25372,26677,27466,29215,29413,30346,31035,32288,31350,32600,34153,36876
"Wokingham",14913,14991,15452,16308,16345,16714,17153,17631,18374,19190,20689,21104,21070,21061,21472,22121,23117,23763,25268,25548,26124,27902,28148,27181,27484,28456,30443
"Milton Keynes",11118,11276,11641,12184,12541,13182,13609,14336,14816,15316,16120,16486,16556,16795,16877,17132,17293,17786,18836,19164,19830,20566,20919,20937,21291,22648,24164
"Brighton and Hove",12134,12197,12693,13444,14066,14479,14663,15300,15987,16351,16894,17486,18054,17963,18080,18568,19268,19880,21216,21669,22444,23102,24108,23950,25135,26701,28857
"Portsmouth",9341,9410,9943,10680,10749,11022,11116,11218,11191,11420,11978,12401,13030,12945,13074,13266,13835,14320,15299,15793,16525,17105,17626,17840,18503,19504,21003
"Southampton",9670,9540,9696,10248,10558,10910,11111,11521,11653,12208,12952,13134,13546,13493,13660,13951,14333,14721,15267,15826,16444,17009,17687,17695,18162,18846,19872
"Isle of Wight",9698,9873,10164,10560,11340,11559,11708,12213,12819,13320,13964,14281,15089,15349,15513,15690,16132,16202,16742,16964,17275,17955,18644,18892,19639,20788,22568
"Buckinghamshire",14543,14848,15424,16232,16959,17196,17326,18097,18743,20049,20937,21384,21844,21743,21847,22351,23100,23863,25468,26077,26671,27320,28176,27479,28701,30237,32856
"Eastbourne",10569,10776,11277,11807,12341,12576,12830,13006,13378,13796,14792,15187,15696,16285,16139,16611,17449,17764,18640,19112,19116,19424,19815,20273,20850,21497,22888
"Hastings",8229,8457,8767,8861,9218,9599,9909,10202,10492,11022,11716,12065,12881,13187,13231,13893,14536,14746,15234,15817,15961,16827,17672,18208,18944,19813,21298
"Lewes",12296,12518,12760,13382,13971,14136,14396,14831,15596,16156,17570,17943,18090,18542,18509,18888,19944,20330,21767,22200,22389,23071,24277,23535,24233,26411,29269
"Rother",11697,11752,12274,12931,13728,13932,14241,14514,15168,15679,16821,17212,17745,18338,18257,18805,20020,20214,21338,21668,21833,22707,23137,23228,23452,24813,27069
"Wealden",13647,13789,14324,15097,15702,15881,16083,16473,17298,17898,19386,19907,19915,20608,20177,20644,21800,22003,23414,23820,24080,24690,25443,24968,26486,27749,30000
"Basingstoke and Deane",14346,14520,14818,15520,16019,16291,16523,17280,17569,18086,19118,19535,19695,19493,19600,20272,20882,21302,22706,22602,23355,24101,24459,23853,24359,25738,27908
"East Hampshire",14028,14478,15024,15903,16408,16704,17003,17829,18532,19245,20239,20835,21032,21017,21037,21891,22935,23373,24985,25255,25739,26555,27076,26071,27180,28203,30307
"Eastleigh",11623,11773,12077,12597,13205,13737,14003,14677,15054,15428,16263,16693,17241,17080,17216,18035,18683,19211,20182,20191,20377,21363,21900,21435,21323,22494,24127
"Fareham",11172,11320,11861,12408,12971,13399,13641,14266,14770,15323,16150,16586,17263,17296,17563,18358,19019,19572,20505,20484,20796,21607,22668,22217,22579,23812,25716
"Gosport",8464,8568,9233,9584,10288,10788,11109,11569,11835,12170,12678,13041,13861,13917,14256,15076,15705,16071,16660,16765,17077,17728,18438,18607,19053,19761,21263
"Hart",16231,16347,16761,17710,18164,18342,18392,19065,19330,19818,20861,21417,21794,21793,22131,23027,23887,24506,26471,26279,26735,27599,28446,28057,28403,29968,32292
"Havant",10210,10329,10749,11278,11954,12448,12686,13330,13767,14258,15082,15502,16167,16256,16458,17215,17968,18572,19311,19307,19476,20050,20360,20483,20949,22413,24248
"New Forest",12024,12213,12649,13382,13988,14239,14551,15212,15708,16331,17144,17750,18389,18465,18706,19681,20446,20714,22260,22541,23173,23839,24694,24337,25094,26179,28322
"Rushmoor",10364,10127,10548,11044,11429,11918,12207,12730,12956,13255,13826,14107,14907,14978,15179,15836,16363,16730,17535,17716,18459,19054,19748,20012,20269,21139,22540
"Test Valley",12787,12864,13295,14101,14646,14969,15146,15874,16366,17064,17964,18516,19075,19020,19205,20169,20743,20910,22156,22242,22577,23733,24177,23902,24752,25943,28128
"Winchester",14379,14493,14995,16075,16761,17021,17147,18116,18709,19380,20406,20897,21035,21077,21202,22152,23110,23343,24762,24638,25328,26724,28024,27206,27999,29566,32202
"Ashford",12760,12782,13104,13808,14215,14415,14563,15150,15433,15856,16528,16810,17276,17440,17469,18055,18738,19107,19707,20276,20554,20883,21459,21748,22612,23820,25687
"Canterbury",9007,9283,9828,10520,11138,11559,11705,12182,12589,12983,13706,14151,14731,14932,15084,15632,16143,16602,17361,17843,18342,18906,19779,19951,20881,21792,23272
"Dartford",11601,11645,12227,12935,13482,13999,14287,14660,14890,15378,16236,16462,16784,16888,16973,17461,17827,18314,19184,19914,20281,20641,21003,20909,21787,22843,24579
"Dover",8566,8735,9252,9765,10389,10804,11089,11659,12133,12710,13368,13789,14540,14708,14978,15713,16388,16941,17769,18266,18624,19149,19766,19909,20692,21732,23269
"Gravesham",9901,9981,10382,10872,11352,11847,12108,12607,12900,13385,14080,14418,14980,15120,15350,15778,16256,16711,17488,18230,19039,19474,20454,20761,21326,22604,24201
"Maidstone",12351,12419,12951,13783,14341,14510,14758,15402,15809,16305,17035,17234,17606,17662,17735,18328,19071,19446,20001,20609,20960,21689,22404,22107,22769,24199,25905
"Sevenoaks",17196,17135,17426,18796,19384,19542,19810,20778,21352,22209,23417,24108,24222,24271,24550,25263,26934,27624,29517,29539,30091,30571,31032,29959,31882,34273,37860
"Folkestone and Hythe",9778,10013,10478,11114,11705,12138,12402,12927,13357,13854,14581,15079,15702,15849,16017,16701,17467,17979,18958,19418,20120,20385,20935,21287,21868,22574,24236
"Swale",10203,10292,10775,11263,11694,12054,12277,12817,13206,13685,14245,14525,15016,15131,15274,15786,16309,16819,17538,18072,18555,19193,19854,19827,20547,21467,22987
"Thanet",8289,8446,8940,9424,10002,10357,10728,11261,11735,12275,12843,13263,14144,14315,14599,15127,15580,15979,16486,17019,17461,18010,18705,19384,20124,21171,23099
"Tonbridge and Malling",14041,13851,14237,15007,15380,15590,15693,16374,16728,17268,17837,18090,18473,18475,18619,19326,20504,20851,22041,22305,22689,23435,24250,24051,25186,26341,28282
"Tunbridge Wells",15252,15131,15577,16449,16897,17043,17220,18074,18645,19345,20009,20142,20402,20365,20439,21188,22628,23144,25118,25238,25912,27559,28952,27852,29319,30661,33378
"Cherwell",11609,11798,12297,12917,13334,13638,13829,14496,14852,15840,16277,16539,17184,16952,17251,18002,18603,19339,20536,20595,21107,22003,22951,22491,23489,24889,26994
"Oxford",10966,11159,11608,12299,12867,13235,13284,13767,13743,14859,15308,15582,16297,15923,16060,16815,17246,17663,18783,18910,19656,20374,21516,21248,21918,23204,24772
"South Oxfordshire",15371,15451,15885,17119,17263,17654,17990,18903,19533,20652,21523,21905,22176,22185,22305,23114,24033,24707,26806,26576,27316,28181,29327,28627,29369,30715,33505
"Vale of White Horse",13144,13475,13795,14619,14884,15272,15539,16215,16676,17778,18345,18825,19248,19126,19339,20248,20958,21847,23423,23171,23627,24426,25155,25030,25510,26993,29226
"West Oxfordshire",14482,14874,15177,16279,16452,16765,16876,17713,18187,19132,19763,20242,20239,20058,20379,20871,21635,22549,24494,24358,24993,26988,26923,25547,26764,29308,32220
"Elmbridge",21438,22141,22771,23599,23999,24147,24014,24980,26184,27782,28998,29526,29997,29933,30257,31571,33171,34014,36479,36342,37358,38987,40828,38813,41288,44287,48562
"Epsom and Ewell",15205,15911,16514,17223,17686,18005,18197,18706,19663,21038,21730,21740,21608,21750,22038,22938,23772,24117,25999,26225,26790,27323,27566,26740,27739,29194,30982
"Guildford",15759,16367,16834,17437,17625,18014,18246,19027,20154,21316,22342,22567,22381,22559,22579,23785,25013,25781,27389,27337,28044,29610,30507,29202,30603,32809,35921
"Mole Valley",16933,17791,18155,18941,19208,19557,19406,20131,21560,22944,24045,24316,24293,24366,24666,26033,27166,27706,29834,30048,30896,32164,33205,32338,33097,34803,38465
"Reigate and Banstead",14983,15723,16214,16832,17086,17488,17762,18470,19608,20918,21787,21863,21684,21574,21576,22615,23681,24080,25698,25894,26367,27093,28174,27758,28345,29769,32092
"Runnymede",13316,13704,14489,14682,15012,15473,15719,16408,17337,18500,19059,19262,19646,19521,19949,20620,21703,22496,23763,23795,24648,26241,26765,26402,27485,29220,31483
"Spelthorne",12196,12647,13340,13664,14182,14588,14756,15238,16064,16994,17423,17526,18222,18120,18452,19204,20054,20618,21793,22357,23099,24229,24879,24961,25314,26366,27896
"Surrey Heath",14632,15227,15790,16294,16711,17106,17298,17665,18552,19704,20455,20632,20941,20967,21299,22392,23583,24196,25722,25820,26733,28093,28922,27909,28885,30351,33217
"Tandridge",15163,15672,16196,16561,16883,17392,17765,18332,19403,20803,21678,21941,21848,22094,22288,23340,24509,25011,26821,26943,27492,28890,30057,28888,29906,31381,34393
"Waverley",16912,17496,18059,18702,19035,19396,19510,20215,21515,22958,23939,24248,24205,24402,24687,25882,27167,28023,30048,29992,30632,32674,33003,32175,33875,36160,39876
"Woking",14974,15573,16286,16926,17192,17704,17925,18552,19517,20557,21113,21209,21371,21278,21302,22290,23319,24142,25723,25787,26803,27611,28052,27158,28325,30282,33289
"Adur",8853,9299,9678,10199,10944,11139,11387,11822,12491,12973,13452,13650,14289,14491,14862,15473,16106,16409,17487,18006,18535,19000,19600,19805,20663,21734,23470
"Arun",10943,11435,11629,12238,12992,13159,13396,13803,14442,15019,15676,15965,16411,16791,17069,17639,18438,18608,19744,20032,20456,21003,21144,21250,21855,23282,25129
"Chichester",14044,14468,14518,15643,16319,16589,16864,17711,18562,19312,20070,20323,20237,20615,20923,21587,22699,23214,24676,24780,25121,25881,26561,25915,27183,28982,31385
"Crawley",10895,10916,11235,11617,12188,12501,12858,13311,13651,14052,14410,14534,15018,14917,15141,15549,16147,16381,16801,17420,17920,18857,19480,18933,18957,20160,21869
"Horsham",16425,16603,16741,17581,17992,18238,18351,18994,19777,20401,21160,21433,21337,21622,22090,22679,23782,24192,25346,25491,25896,26880,27509,26797,27517,29024,31670
"Mid Sussex",15594,15584,15833,16801,17409,17499,17744,18368,19038,19544,20178,20229,20235,20316,20590,21132,22054,22378,23462,24056,24595,25288,26268,25310,26507,28048,30320
"Worthing",9904,10398,10705,11323,12043,12334,12587,12975,13538,14145,14628,14817,15381,15570,15801,16423,17179,17579,18669,19033,19633,20553,21093,21111,21782,23286,25505
"Bath and North East Somerset",12422,12786,13319,13591,13730,13918,14309,14690,15367,16307,16932,17628,17483,17901,18183,18666,19446,20143,21561,21490,21745,22262,23216,22717,23732,25216,27296
"Bristol, City of",10429,10531,10987,11576,12100,12348,12518,12968,13153,13795,14380,14821,14796,15242,15518,15786,16294,16909,17729,18197,18883,19518,20442,20455,21370,22741,24696
"North Somerset",12276,12563,13207,13413,13585,13764,14055,14456,14880,15710,16230,16904,16974,17246,17675,18102,18823,19382,20706,20729,20971,21606,22207,22295,22980,24489,26970
"South Gloucestershire",11438,11831,12303,12471,12660,12871,13246,13585,14122,14954,15531,16124,16033,16191,16518,17049,17750,18455,19808,19862,20077,21567,21664,21338,22024,23407,25422
"Plymouth",9181,9423,9670,10138,10444,10584,11009,11406,11651,12041,12508,12966,13298,13818,14003,14128,14470,14836,15225,15405,15981,16401,17013,17237,17871,18670,20223
"Torbay",9925,10008,10452,11082,11107,11198,11643,12063,12741,13261,13541,14203,14452,14825,14999,15330,15842,16411,16720,16942,17177,17649,18125,18681,19189,20384,22335
"Swindon",11212,11507,12089,12691,13316,13583,13848,14110,14375,14977,15358,15583,15938,15787,15956,16185,16591,17117,17614,17915,18224,18787,19445,19535,19811,20696,22214
"Cornwall",9630,9853,10009,10464,11035,11418,11627,11999,12436,13047,13590,13944,14174,14676,14960,15273,15664,16059,16606,16985,17642,18203,18831,19264,20132,21273,23216
"Isles of Scilly",12234,12513,12074,12422,12295,12529,13116,12539,12648,14003,13135,12987,14709,15388,16123,16036,15930,16100,16740,17378,19007,19950,23681,24997,22806,23228,23324
"Wiltshire",11641,11700,12129,12903,13410,13573,14059,14494,15006,15659,16218,16585,16576,16886,17281,17600,18491,19130,19968,20116,20706,21745,22620,22277,22865,24239,26527
"Bournemouth, Christchurch and Poole",11488,11692,12219,12826,13309,13364,13788,14362,14907,15632,16235,16497,16169,16566,16810,17130,17790,18173,19149,19209,19602,20353,21257,21216,22008,23271,25259
"Dorset",11500,11863,12200,12607,13079,13292,13797,14142,14650,15595,16084,16556,16429,17063,17526,17957,18604,19222,19938,20045,20372,21185,21991,22123,22830,24020,26336
"East Devon",11767,12035,12349,12566,13096,13422,13652,14030,14646,15415,15963,16719,17137,17368,17465,17895,18583,18982,19811,19731,20049,20829,21603,21367,22148,23866,26367
"Exeter",8903,8928,9379,9581,10145,10602,10890,11498,11751,12495,12900,13467,14092,13921,13987,14543,14991,15437,15916,16143,16520,17284,17974,18107,18527,19123,20569
"Mid Devon",10960,11009,11390,11554,12013,12285,12429,12879,13428,14093,14490,15012,15327,15261,15315,15788,16505,16947,17851,18072,18534,19350,19943,20723,21100,21903,24003
"North Devon",10043,10188,10639,10814,11345,11549,11820,12200,12676,13341,13760,14347,14833,14974,14965,15613,16275,16777,17640,17785,18158,18401,19174,19501,20367,21191,23103
"South Hams",12951,13230,13391,13676,14409,14691,15006,15562,16398,17174,17931,18873,18953,19299,19272,19830,20651,21230,22633,22620,23111,23774,24611,24253,24917,27103,29987
"Teignbridge",10522,10616,10938,11140,11640,11959,12197,12649,13262,14049,14568,15202,15677,15830,15946,16508,17158,17584,18304,18532,18795,19579,20291,20686,21543,22752,24924
"Torridge",9764,9821,10125,10147,10583,10874,11089,11444,11887,12445,12829,13394,14103,14231,14225,14665,15224,15660,16303,16358,16676,17302,17764,18354,19115,20727,22672
"West Devon",12240,12263,12641,12695,13225,13344,13640,14163,14911,15712,16232,16762,16797,16944,16954,17527,18319,18718,19905,19841,20124,20692,20952,20633,20993,22260,24525
"Cheltenham",11439,11604,12076,12631,13177,13235,13453,14125,14963,15665,16085,16624,16609,16976,17140,17653,18516,19417,20231,20332,20650,21419,22230,22139,22971,24098,26389
"Cotswold",16259,16479,17071,18099,18537,18395,18521,19451,20724,21668,22687,23487,23166,24067,23963,24497,25899,27108,28718,28670,28503,29601,30855,29526,30765,33449,37351
"Forest of Dean",9306,9245,9641,9936,10395,10424,10596,11055,11862,12498,12806,13278,13642,14054,14317,14719,15360,16127,16676,16821,17074,17903,18605,18970,19589,20869,22810
"Gloucester",9269,9287,9679,9909,10536,10627,10880,11331,12011,12558,12632,12956,13497,13491,13739,14196,14669,15502,15720,15925,16051,16275,16918,17499,17825,18833,20355
"Stroud",11896,12051,12529,13218,13737,13755,13906,14643,15625,16377,17043,17583,17502,17830,18000,18474,19382,20315,21169,21285,21609,22635,23326,22915,23844,25074,27487
"Tewkesbury",11504,12054,12465,12932,13467,13375,13492,14212,15176,15925,16537,17044,17085,17291,17462,18014,18816,19680,20517,20517,20491,20857,21060,21394,21766,23433,26150
"Somerset",10781,11100,11399,11688,12242,12400,12763,13314,13800,14523,15075,15545,15551,16116,16376,16585,17017,17627,18278,18315,18777,19501,20246,20396,21068,22256,24547
"Isle of Anglesey",9510,9699,9922,10428,10633,10765,11288,11960,12160,12209,12775,13548,13794,14034,14200,14747,15274,15546,16080,16149,16493,17146,17389,17647,18457,19444,20572
"Gwynedd",8730,8777,9214,9446,10045,10413,10810,11399,11686,12343,12424,12575,12841,13010,13138,13424,13897,14550,15077,15198,15574,15838,16380,16813,17479,18167,19362
"Conwy",10399,10476,10765,11154,11622,12076,12368,12702,13252,13349,13594,14186,14169,14405,14727,15234,15542,15971,16303,16344,16910,17600,18248,18518,19077,19883,21364
"Denbighshire",10003,10011,10137,10484,10945,11425,11679,12194,12704,12932,13325,13989,13931,14172,14635,15149,15426,15814,16340,16404,16938,17659,17605,17777,18340,18948,20331
