region,region_code,metric,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
London,E12000007,total_population,6805000.0,6765084.0,6752989.0,6754717.0,6766997.0,6774202.0,6765557.0,6729336.0,6751562.0,6798786.0,6829314.0,6829408.0,6844491.0,6873527.0,6913123.0,6974407.0,7014838.0,7065497.0,7153912.0,7236712.0,7322403.0,7376671.0,7394817.0,7432730.0,7519009.0,7597825.0,7693473.0,7812161.0,7942594.0,8061495.0,8204407.0,8320767.0,8438987.0,8547192.0,8659545.0,8743651.0,8776229.0,8833335.0,8889743.0,8867008.0,8804769.0,8871368.0,8999705.0,9089736.0
London,E12000007,working_age_population,,,,,,,,,,,,4514598.0,4513090.0,4527439.0,4556914.0,4606533.0,4642411.0,4685777.0,4780580.0,4874543.0,4974573.0,5025296.0,5038546.0,5076217.0,5150699.0,5221068.0,5298039.0,5387169.0,5478584.0,5558486.0,5664416.0,5726145.0,5800997.0,5873113.0,5955594.0,6010793.0,6024971.0,6066064.0,6113644.0,6099549.0,6062210.0,6104266.0,6208153.0,6275855.0
South East,E12000008,total_population,7243055.0,7273234.0,7302985.0,7360814.0,7413733.0,7468272.0,7505040.0,7550554.0,7568528.0,7598057.0,7629186.0,7656594.0,7673172.0,7711594.0,7762978.0,7800406.0,7853102.0,7888838.0,7955124.0,7990598.0,8023449.0,8045192.0,8087924.0,8133100.0,8202896.0,8270861.0,8351391.0,8426399.0,8490922.0,8577771.0,8652784.0,8731840.0,8809382.0,8893930.0,8969638.0,9053011.0,9105076.0,9150245.0,9193770.0,9225273.0,9295829.0,9392970.0,9529446.0,9642942.0
South East,E12000008,working_age_population,,,,,,,,,,,,4873486.0,4870745.0,4888551.0,4919839.0,4947839.0,4987679.0,5012979.0,5060196.0,5089296.0,5118517.0,5138049.0,5171546.0,5207503.0,5266296.0,5325115.0,5381984.0,5423395.0,5447741.0,5487698.0,5513564.0,5517414.0,5537561.0,5569698.0,5605826.0,5647544.0,5668630.0,5684385.0,5698794.0,5714263.0,5758118.0,5797558.0,5880425.0,5947376.0
South West,E12000009,total_population,4383384.0,4399414.0,4426499.0,4464116.0,4504547.0,4547613.0,4589604.0,4635406.0,4653538.0,4668189.0,4688248.0,4713921.0,4733634.0,4757078.0,4781856.0,4793090.0,4827319.0,4849464.0,4880958.0,4917074.0,4943364.0,4976129.0,5006653.0,5038284.0,5086121.0,5119840.0,5170537.0,5205044.0,5226821.0,5261270.0,5300831.0,5336343.0,5374783.0,5422159.0,5471487.0,5526982.0,5574666.0,5609701.0,5642792.0,5661990.0,5712822.0,5769054.0,5830152.0,5889695.0
South West,E12000009,working_age_population,,,,,,,,,,,,2931901.0,2937035.0,2945669.0,2960057.0,2967929.0,2993642.0,3008114.0,3030380.0,3061188.0,3082509.0,3111772.0,3137918.0,3166948.0,3211605.0,3244627.0,3283868.0,3299149.0,3301189.0,3313080.0,3326352.0,3316083.0,3321006.0,3333261.0,3354821.0,3380755.0,3401921.0,3415372.0,3425271.0,3435601.0,3466380.0,3495012.0,3532288.0,3568027.0
Northern Ireland,N92000002,total_population,,,,,,,,,,,,1623263.0,1635552.0,1643707.0,1649131.0,1661751.0,1671261.0,1677769.0,1679006.0,1682944.0,1688838.0,1697534.0,1704924.0,1714042.0,1727733.0,1743113.0,1761683.0,1779152.0,1793333.0,1804833.0,1814318.0,1824603.0,1831677.0,1843186.0,1854943.0,1866042.0,1875178.0,1886259.0,1898519.0,1900523.0,1904564.0,1910543.0,1920382.0,
Northern Ireland,N92000002,working_age_population,,,,,,,,,,,,994580.0,1004884.0,1012502.0,1017697.0,1029817.0,1039864.0,1047109.0,1051358.0,1058507.0,1067215.0,1079049.0,1089658.0,1100625.0,1114058.0,1127914.0,1142682.0,1153167.0,1160446.0,1165239.0,1167750.0,1169668.0,1170280.0,1174132.0,1178676.0,1181010.0,1182744.0,1185959.0,1189917.0,1187727.0,1187162.0,1185659.0,1189681.0,
Scotland,S92000003,total_population,5180200.0,5164540.0,5148120.0,5138880.0,5127890.0,5111760.0,5099020.0,5077440.0,5078190.0,5081270.0,5083330.0,5085620.0,5092460.0,5102210.0,5103690.0,5092190.0,5083340.0,5077070.0,5071950.0,5062940.0,5064200.0,5066000.0,5068500.0,5084300.0,5110200.0,5133000.0,5170000.0,5202900.0,5231900.0,5262200.0,5299900.0,5308500.0,5317300.0,5332200.0,5351700.0,5374900.0,5389900.0,5394300.0,5414400.0,5413100.0,5418400.0,5447000.0,5490100.0,
Scotland,S92000003,working_age_population,,,,,,,,,,,,3289639.0,3295334.0,3294930.0,3293104.0,3311527.0,3307538.0,3304983.0,3304363.0,3302015.0,3286645.0,3295351.0,3303864.0,3321295.0,3345841.0,3368993.0,3400324.0,3423498.0,3441098.0,3462158.0,3487433.0,3468526.0,3458380.0,3450749.0,3455167.0,3460746.0,3461982.0,3454904.0,3457364.0,3448871.0,3440192.0,3457768.0,3479044.0,
Wales,W92000004,total_population,2813495.0,2804289.0,2803304.0,2800686.0,2803354.0,2810931.0,2822565.0,2841226.0,2855175.0,2861512.0,2872998.0,2877674.0,2883558.0,2887447.0,2888517.0,2891304.0,2894871.0,2899521.0,2900599.0,2906870.0,2910232.0,2922876.0,2937721.0,2957422.0,2969309.0,2985668.0,3006299.0,3025867.0,3038872.0,3049971.0,3063758.0,3070928.0,3071058.0,3073788.0,3072739.0,3077165.0,3081366.0,3083840.0,3087732.0,3104483.0,3105633.0,3134196.0,3167331.0,3186581.0
Wales,W92000004,working_age_population,,,,,,,,,,,,1787493.0,1785823.0,1784855.0,1785189.0,1789854.0,1794141.0,1799111.0,1803736.0,1811919.0,1817359.0,1832035.0,1847827.0,1867955.0,1881441.0,1897093.0,1915370.0,1928555.0,1934310.0,1937725.0,1941524.0,1929971.0,1918531.0,1909481.0,1900284.0,1895193.0,1891756.0,1887029.0,1883726.0,1893071.0,1892963.0,1911473.0,1935045.0,1947716.0
