region,region_code,age_band,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
South West,E12000009,Aged 0 - 15,,,,,,,,,,,,903416.0,912733.0,922995.0,927308.0,926401.0,931300.0,934034.0,939509.0,940792.0,938920.0,935534.0,933747.0,929396.0,925305.0,921240.0,921109.0,922503.0,923435.0,925309.0,929949.0,935612.0,938611.0,944819.0,950310.0,958767.0,965912.0,969247.0,970122.0,965263.0,964309.0,972876.0,978745.0,980311.0
South West,E12000009,Aged 16 - 59/64,,,,,,,,,,,,2801908.0,2808333.0,2818744.0,2834434.0,2843471.0,2868671.0,2881624.0,2901023.0,2929392.0,2949815.0,2977061.0,2998878.0,3022236.0,3060750.0,3086064.0,3111596.0,3119078.0,3118423.0,3128733.0,3141589.0,3140211.0,3150116.0,3164176.0,3187547.0,3213182.0,3231968.0,3242426.0,3249513.0,3255503.0,3279575.0,3302638.0,3335051.0,3365096.0
South West,E12000009,Aged 16 - 64,,,,,,,,,,,,2931901.0,2937035.0,2945669.0,2960057.0,2967929.0,2993642.0,3008114.0,3030380.0,3061188.0,3082509.0,3111772.0,3137918.0,3166948.0,3211605.0,3244627.0,3283868.0,3299149.0,3301189.0,3313080.0,3326352.0,3316083.0,3321006.0,3333261.0,3354821.0,3380755.0,3401921.0,3415372.0,3425271.0,3435601.0,3466380.0,3495012.0,3532288.0,3568027.0
South West,E12000009,Aged 18 - 24,,,,,,,,,,,,447668.0,433586.0,414622.0,398696.0,380472.0,374261.0,371086.0,367853.0,372495.0,380265.0,391897.0,403317.0,413948.0,428602.0,437597.0,449088.0,454762.0,457053.0,463319.0,469943.0,470538.0,472565.0,473899.0,478128.0,478901.0,476429.0,473625.0,464968.0,461006.0,463170.0,470116.0,476133.0,485428.0
South West,E12000009,Aged 65 and over,781140.0,784988.0,786477.0,788055.0,808325.0,823130.0,837208.0,848645.0,858800.0,864916.0,872754.0,878604.0,883866.0,888414.0,894491.0,898760.0,902377.0,907316.0,911069.0,915094.0,921935.0,928823.0,934988.0,941940.0,949211.0,953973.0,965560.0,983392.0,1002197.0,1022881.0,1044530.0,1084648.0,1115166.0,1144079.0,1166356.0,1187460.0,1206833.0,1225082.0,1247399.0,1261126.0,1282133.0,1301166.0,1319119.0,1341357.0
South West,E12000009,All ages,4383384.0,4399414.0,4426499.0,4464116.0,4504547.0,4547613.0,4589604.0,4635406.0,4653538.0,4668189.0,4688248.0,4713921.0,4733634.0,4757078.0,4781856.0,4793090.0,4827319.0,4849464.0,4880958.0,4917074.0,4943364.0,4976129.0,5006653.0,5038284.0,5086121.0,5119840.0,5170537.0,5205044.0,5226821.0,5261270.0,5300831.0,5336343.0,5374783.0,5422159.0,5471487.0,5526982.0,5574666.0,5609701.0,5642792.0,5661990.0,5712822.0,5769054.0,5830152.0,5889695.0
Northern Ireland,N92000002,Aged 0 - 15,,,,,,,,,,,,417969.0,418528.0,417899.0,416457.0,415127.0,413448.0,411252.0,407510.0,403189.0,397533.0,391656.0,385907.0,381247.0,378770.0,377149.0,377073.0,378485.0,379520.0,379959.0,380806.0,381966.0,381952.0,382660.0,383770.0,386239.0,388154.0,390311.0,391656.0,390112.0,388176.0,389435.0,388219.0,
Northern Ireland,N92000002,Aged 16 - 59/64,,,,,,,,,,,,956967.0,967385.0,975458.0,981161.0,993218.0,1002889.0,1009899.0,1013513.0,1020306.0,1028945.0,1040332.0,1049417.0,1058986.0,1070985.0,1083232.0,1096280.0,1106162.0,1113095.0,1117481.0,1119836.0,1122310.0,1122893.0,1126530.0,1130801.0,1132059.0,1132215.0,1133742.0,1135696.0,1131452.0,1128988.0,1125972.0,1128972.0,
Northern Ireland,N92000002,Aged 16 - 64,,,,,,,,,,,,994580.0,1004884.0,1012502.0,1017697.0,1029817.0,1039864.0,1047109.0,1051358.0,1058507.0,1067215.0,1079049.0,1089658.0,1100625.0,1114058.0,1127914.0,1142682.0,1153167.0,1160446.0,1165239.0,1167750.0,1169668.0,1170280.0,1174132.0,1178676.0,1181010.0,1182744.0,1185959.0,1189917.0,1187727.0,1187162.0,1185659.0,1189681.0,
Northern Ireland,N92000002,Aged 18 - 24,,,,,,,,,,,,180882.0,179341.0,174918.0,169204.0,165431.0,162788.0,160236.0,157313.0,156981.0,158538.0,162727.0,166406.0,170391.0,173363.0,175919.0,178076.0,178500.0,178877.0,177410.0,175379.0,173366.0,170604.0,169102.0,168558.0,167071.0,164487.0,162909.0,160983.0,156664.0,153791.0,149742.0,149248.0,
Northern Ireland,N92000002,Aged 65 and over,,,,,,,,,,,,210714.0,212140.0,213306.0,214977.0,216807.0,217949.0,219408.0,220138.0,221248.0,224090.0,226829.0,229359.0,232170.0,234905.0,238050.0,241928.0,247500.0,253367.0,259635.0,265762.0,272969.0,279445.0,286394.0,292497.0,298793.0,304280.0,309989.0,316946.0,322684.0,329226.0,335449.0,342482.0,
Northern Ireland,N92000002,All ages,,,,,,,,,,,,1623263.0,1635552.0,1643707.0,1649131.0,1661751.0,1671261.0,1677769.0,1679006.0,1682944.0,1688838.0,1697534.0,1704924.0,1714042.0,1727733.0,1743113.0,1761683.0,1779152.0,1793333.0,1804833.0,1814318.0,1824603.0,1831677.0,1843186.0,1854943.0,1866042.0,1875178.0,1886259.0,1898519.0,1900523.0,1904564.0,1910543.0,1920382.0,
Scotland,S92000003,Aged 0 - 15,,,,,,,,,,,,1022188.0,1021731.0,1029988.0,1028555.0,995647.0,986776.0,979508.0,972515.0,961440.0,970374.0,957785.0,946105.0,937745.0,932041.0,926232.0,923647.0,921641.0,920227.0,917820.0,916103.0,914033.0,911490.0,911795.0,912046.0,913627.0,913074.0,910710.0,909453.0,903205.0,898594.0,891830.0,894695.0,
Scotland,S92000003,Aged 16 - 59/64,,,,,,,,,,,,3148876.0,3155693.0,3156505.0,3155693.0,3174802.0,3171467.0,3168090.0,3166683.0,3164109.0,3149716.0,3158316.0,3165054.0,3180368.0,3203902.0,3224236.0,3244809.0,3262311.0,3275753.0,3293116.0,3315598.0,3303466.0,3295600.0,3288318.0,3291295.0,3294338.0,3291477.0,3280144.0,3277855.0,3265155.0,3252459.0,3265659.0,3282965.0,
Scotland,S92000003,Aged 16 - 64,,,,,,,,,,,,3289639.0,3295334.0,3294930.0,3293104.0,3311527.0,3307538.0,3304983.0,3304363.0,3302015.0,3286645.0,3295351.0,3303864.0,3321295.0,3345841.0,3368993.0,3400324.0,3423498.0,3441098.0,3462158.0,3487433.0,3468526.0,3458380.0,3450749.0,3455167.0,3460746.0,3461982.0,3454904.0,3457364.0,3448871.0,3440192.0,3457768.0,3479044.0,
Scotland,S92000003,Aged 18 - 24,,,,,,,,,,,,533481.0,515390.0,499037.0,479117.0,457532.0,443588.0,437438.0,439055.0,438940.0,440392.0,447293.0,455424.0,460659.0,467252.0,472068.0,476023.0,481616.0,485514.0,496258.0,505105.0,500373.0,491334.0,483180.0,481004.0,475325.0,468632.0,464276.0,461565.0,460392.0,459604.0,466336.0,467718.0,
Scotland,S92000003,Aged 65 and over,739859.0,735593.0,729304.0,725159.0,737758.0,743572.0,752266.0,756571.0,763346.0,764916.0,770448.0,773793.0,775395.0,777292.0,782031.0,785016.0,789026.0,792579.0,795072.0,799485.0,807181.0,812864.0,818531.0,825260.0,832318.0,837775.0,846029.0,857761.0,870575.0,882222.0,896364.0,925941.0,947430.0,969656.0,984487.0,1000527.0,1014844.0,1028686.0,1047583.0,1061024.0,1079614.0,1097402.0,1116361.0,
Scotland,S92000003,All ages,5180200.0,5164540.0,5148120.0,5138880.0,5127890.0,5111760.0,5099020.0,5077440.0,5078190.0,5081270.0,5083330.0,5085620.0,5092460.0,5102210.0,5103690.0,5092190.0,5083340.0,5077070.0,5071950.0,5062940.0,5064200.0,5066000.0,5068500.0,5084300.0,5110200.0,5133000.0,5170000.0,5202900.0,5231900.0,5262200.0,5299900.0,5308500.0,5317300.0,5332200.0,5351700.0,5374900.0,5389900.0,5394300.0,5414400.0,5413100.0,5418400.0,5447000.0,5490100.0,
Wales,W92000004,Aged 0 - 15,,,,,,,,,,,,593240.0,598293.0,602651.0,601235.0,598475.0,597481.0,595907.0,594098.0,591370.0,586832.0,581551.0,577348.0,573131.0,568116.0,564632.0,561055.0,558911.0,556965.0,554991.0,555841.0,555756.0,553509.0,552290.0,551796.0,552700.0,553713.0,554454.0,553097.0,551595.0,546865.0,548938.0,549937.0,546361.0
Wales,W92000004,Aged 16 - 59/64,,,,,,,,,,,,1708882.0,1707992.0,1708120.0,1709348.0,1714379.0,1718472.0,1722808.0,1726967.0,1734455.0,1739178.0,1752522.0,1765941.0,1783407.0,1794437.0,1807427.0,1819344.0,1828385.0,1832388.0,1834693.0,1837733.0,1830806.0,1821950.0,1814058.0,1806227.0,1801167.0,1796934.0,1791259.0,1786615.0,1793122.0,1790474.0,1806042.0,1826873.0,1836785.0
Wales,W92000004,Aged 16 - 64,,,,,,,,,,,,1787493.0,1785823.0,1784855.0,1785189.0,1789854.0,1794141.0,1799111.0,1803736.0,1811919.0,1817359.0,1832035.0,1847827.0,1867955.0,1881441.0,1897093.0,1915370.0,1928555.0,1934310.0,1937725.0,1941524.0,1929971.0,1918531.0,1909481.0,1900284.0,1895193.0,1891756.0,1887029.0,1883726.0,1893071.0,1892963.0,1911473.0,1935045.0,1947716.0
Wales,W92000004,Aged 18 - 24,,,,,,,,,,,,277900.0,269967.0,259790.0,249674.0,239419.0,233551.0,231777.0,236391.0,239622.0,242126.0,248972.0,258241.0,265010.0,268312.0,273651.0,280233.0,284388.0,288480.0,292336.0,295923.0,297642.0,292280.0,287645.0,282774.0,277250.0,271802.0,266763.0,261459.0,260124.0,255738.0,257700.0,262101.0,263474.0
Wales,W92000004,Aged 65 and over,440480.0,441342.0,440219.0,441442.0,451663.0,460182.0,468142.0,474807.0,482042.0,487157.0,493135.0,496941.0,499442.0,499941.0,502093.0,502975.0,503249.0,504503.0,502765.0,503581.0,506041.0,509290.0,512546.0,516336.0,519752.0,523943.0,529874.0,538401.0,547597.0,557255.0,566393.0,585201.0,599018.0,612017.0,620659.0,629272.0,635897.0,642357.0,650909.0,659817.0,665805.0,673785.0,682349.0,692504.0
Wales,W92000004,All ages,2813495.0,2804289.0,2803304.0,2800686.0,2803354.0,2810931.0,2822565.0,2841226.0,2855175.0,2861512.0,2872998.0,2877674.0,2883558.0,2887447.0,2888517.0,2891304.0,2894871.0,2899521.0,2900599.0,2906870.0,2910232.0,2922876.0,2937721.0,2957422.0,2969309.0,2985668.0,3006299.0,3025867.0,3038872.0,3049971.0,3063758.0,3070928.0,3071058.0,3073788.0,3072739.0,3077165.0,3081366.0,3083840.0,3087732.0,3104483.0,3105633.0,3134196.0,3167331.0,3186581.0
