region,region_code,age_band,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Stockton-on-Tees,E06000004,Aged 18 - 24,14813.0,15329.0,15916.0,16199.0,16626.0,17138.0,17371.0,17674.0,17842.0,17976.0,17875.0,18031.0,17631.0,17424.0,17153.0,16827.0,16443.0,15445.0,13975.0,13412.0,13333.0,13375.0,13624.0,13794.0
Stockton-on-Tees,E06000004,Aged 65 and over,26578.0,26972.0,27287.0,27673.0,27844.0,27982.0,28253.0,28641.0,29063.0,29598.0,30202.0,31383.0,32288.0,33113.0,33720.0,34330.0,34923.0,35566.0,36295.0,36796.0,37518.0,38474.0,39334.0,40307.0
Stockton-on-Tees,E06000004,All ages,183795.0,184940.0,185699.0,185687.0,186350.0,187270.0,187937.0,189039.0,189978.0,190902.0,191824.0,192837.0,193923.0,195113.0,195790.0,196412.0,197046.0,197509.0,196860.0,196388.0,197032.0,200753.0,203768.0,206800.0
Darlington,E06000005,Aged 0 - 15,19750.0,19827.0,19868.0,19852.0,19960.0,20025.0,19974.0,19974.0,20065.0,20125.0,20208.0,20108.0,20124.0,20039.0,19996.0,19943.0,20008.0,19950.0,19839.0,19753.0,19714.0,19801.0,19897.0,20040.0
Darlington,E06000005,Aged 16 - 59/64,58820.0,59411.0,59739.0,60062.0,60682.0,61662.0,62346.0,62915.0,63223.0,63343.0,63420.0,63084.0,62745.0,62600.0,62581.0,62602.0,62337.0,61871.0,61640.0,61677.0,62595.0,63231.0,64006.0,64787.0
Darlington,E06000005,Aged 16 - 64,61468.0,61986.0,62249.0,62580.0,63305.0,64406.0,65448.0,66223.0,66576.0,66743.0,66806.0,66277.0,65907.0,65739.0,65641.0,65653.0,65446.0,65116.0,65015.0,65207.0,66225.0,66952.0,67808.0,68652.0
Darlington,E06000005,Aged 18 - 24,6955.0,7103.0,7214.0,7207.0,7345.0,7726.0,7984.0,8256.0,8399.0,8493.0,8451.0,8469.0,8173.0,8140.0,8002.0,7849.0,7690.0,7565.0,7403.0,7343.0,7504.0,7376.0,7367.0,7358.0
Darlington,E06000005,Aged 65 and over,16676.0,16661.0,16794.0,16911.0,17022.0,17078.0,17210.0,17497.0,17714.0,18160.0,18570.0,19172.0,19560.0,20047.0,20351.0,20662.0,21087.0,21345.0,21678.0,21867.0,22271.0,22708.0,23220.0,23797.0
Darlington,E06000005,All ages,97894.0,98474.0,98911.0,99343.0,100287.0,101509.0,102632.0,103694.0,104355.0,105028.0,105584.0,105557.0,105591.0,105825.0,105988.0,106258.0,106541.0,106411.0,106532.0,106827.0,108210.0,109461.0,110925.0,112489.0
Halton,E06000006,Aged 0 - 15,25683.0,25379.0,25070.0,24933.0,24783.0,24791.0,24693.0,24711.0,24674.0,24785.0,24852.0,24771.0,24946.0,24939.0,24880.0,24860.0,24904.0,25001.0,25011.0,24763.0,24492.0,24475.0,24447.0,24353.0
Halton,E06000006,Aged 16 - 59/64,74075.0,74511.0,74946.0,75685.0,76061.0,76642.0,76906.0,77230.0,77400.0,77816.0,77943.0,77088.0,76638.0,76472.0,76197.0,75898.0,75560.0,75781.0,75799.0,75886.0,75639.0,76035.0,76634.0,77327.0
Halton,E06000006,Aged 16 - 64,76825.0,77309.0,77846.0,78658.0,79079.0,79777.0,80358.0,80920.0,81281.0,81908.0,82222.0,81237.0,80697.0,80475.0,80170.0,79917.0,79610.0,79916.0,80021.0,80092.0,79902.0,80475.0,81129.0,81811.0
Halton,E06000006,Aged 18 - 24,9953.0,10130.0,10472.0,10646.0,10796.0,10936.0,11038.0,11102.0,11171.0,11191.0,11111.0,10751.0,10603.0,10475.0,10220.0,10001.0,9641.0,9610.0,9524.0,9470.0,9318.0,9400.0,9537.0,9696.0
Halton,E06000006,Aged 65 and over,16051.0,16100.0,16262.0,16369.0,16534.0,16707.0,16989.0,17276.0,17681.0,18109.0,18648.0,19588.0,20246.0,20921.0,21414.0,22074.0,22524.0,22956.0,23424.0,23653.0,24176.0,24499.0,24808.0,25379.0
Halton,E06000006,All ages,118559.0,118788.0,119178.0,119960.0,120396.0,121275.0,122040.0,122907.0,123636.0,124802.0,125722.0,125596.0,125889.0,126335.0,126464.0,126851.0,127038.0,127873.0,128456.0,128508.0,128570.0,129449.0,130384.0,131543.0
Warrington,E06000007,Aged 0 - 15,39763.0,39677.0,39419.0,39213.0,38963.0,38691.0,38551.0,38474.0,38559.0,38599.0,38778.0,38938.0,39099.0,39435.0,39438.0,39443.0,39507.0,39204.0,39012.0,38615.0,38117.0,38772.0,39414.0,39473.0
Warrington,E06000007,Aged 16 - 59/64,119326.0,119395.0,119510.0,119032.0,119804.0,121223.0,122455.0,123329.0,124270.0,124659.0,125086.0,125125.0,126117.0,126880.0,127582.0,128142.0,128592.0,128095.0,127571.0,126842.0,126121.0,124995.0,125212.0,125944.0
Warrington,E06000007,Aged 16 - 64,124316.0,124505.0,124725.0,124324.0,125184.0,126755.0,128351.0,129534.0,130501.0,130994.0,131423.0,131009.0,131796.0,132573.0,133287.0,133856.0,134415.0,134038.0,133708.0,133145.0,132703.0,131868.0,132343.0,133233.0
Warrington,E06000007,Aged 18 - 24,14051.0,14184.0,14567.0,14376.0,14722.0,15429.0,15968.0,16287.0,16747.0,16741.0,16823.0,16676.0,16436.0,16308.0,16267.0,15894.0,15678.0,15227.0,15045.0,14710.0,14468.0,13631.0,13575.0,13641.0
Warrington,E06000007,Aged 65 and over,27123.0,27433.0,27843.0,28300.0,28845.0,29157.0,29657.0,30179.0,30997.0,31716.0,32508.0,33967.0,35010.0,36048.0,36850.0,37574.0,38215.0,38766.0,39525.0,39867.0,40362.0,41116.0,41841.0,42685.0
Warrington,E06000007,All ages,191202.0,191615.0,191987.0,191837.0,192992.0,194603.0,196559.0,198187.0,200057.0,201309.0,202709.0,203914.0,205905.0,208056.0,209575.0,210873.0,212137.0,212008.0,212245.0,211627.0,211182.0,211756.0,213598.0,215391.0
