region,region_code,year,metric,value
Yorkshire & Humber,E12000003,2006,gdhi_per_head_gbp,12729
Yorkshire & Humber,E12000003,2007,gdhi_per_head_gbp,13247
Yorkshire & Humber,E12000003,2008,gdhi_per_head_gbp,13417
Yorkshire & Humber,E12000003,2009,gdhi_per_head_gbp,13784
Yorkshire & Humber,E12000003,2010,gdhi_per_head_gbp,13841
Yorkshire & Humber,E12000003,2011,gdhi_per_head_gbp,14067
Yorkshire & Humber,E12000003,2012,gdhi_per_head_gbp,14477
Yorkshire & Humber,E12000003,2013,gdhi_per_head_gbp,14883
Yorkshire & Humber,E12000003,2014,gdhi_per_head_gbp,15300
Yorkshire & Humber,E12000003,2015,gdhi_per_head_gbp,16021
Yorkshire & Humber,E12000003,2016,gdhi_per_head_gbp,16106
Yorkshire & Humber,E12000003,2017,gdhi_per_head_gbp,16582
Yorkshire & Humber,E12000003,2018,gdhi_per_head_gbp,17189
Yorkshire & Humber,E12000003,2019,gdhi_per_head_gbp,17693
Yorkshire & Humber,E12000003,2020,gdhi_per_head_gbp,17876
Yorkshire & Humber,E12000003,2021,gdhi_per_head_gbp,18347
Yorkshire & Humber,E12000003,2022,gdhi_per_head_gbp,19249
Yorkshire & Humber,E12000003,1997,gdhi_total_mn_gbp,47006
Yorkshire & Humber,E12000003,1998,gdhi_total_mn_gbp,48233
Yorkshire & Humber,E12000003,1999,gdhi_total_mn_gbp,50550
Yorkshire & Humber,E12000003,2000,gdhi_total_mn_gbp,52703
Yorkshire & Humber,E12000003,2001,gdhi_total_mn_gbp,54660
Yorkshire & Humber,E12000003,2002,gdhi_total_mn_gbp,56320
Yorkshire & Humber,E12000003,2003,gdhi_total_mn_gbp,58397
Yorkshire & Humber,E12000003,2004,gdhi_total_mn_gbp,60779
Yorkshire & Humber,E12000003,2005,gdhi_total_mn_gbp,62844
Yorkshire & Humber,E12000003,2006,gdhi_total_mn_gbp,65350
Yorkshire & Humber,E12000003,2007,gdhi_total_mn_gbp,68412
Yorkshire & Humber,E12000003,2008,gdhi_total_mn_gbp,69752
Yorkshire & Humber,E12000003,2009,gdhi_total_mn_gbp,72000
Yorkshire & Humber,E12000003,2010,gdhi_total_mn_gbp,72733
Yorkshire & Humber,E12000003,2011,gdhi_total_mn_gbp,74388
Yorkshire & Humber,E12000003,2012,gdhi_total_mn_gbp,76921
Yorkshire & Humber,E12000003,2013,gdhi_total_mn_gbp,79402
Yorkshire & Humber,E12000003,2014,gdhi_total_mn_gbp,81955
Yorkshire & Humber,E12000003,2015,gdhi_total_mn_gbp,86151
Yorkshire & Humber,E12000003,2016,gdhi_total_mn_gbp,87103
Yorkshire & Humber,E12000003,2017,gdhi_total_mn_gbp,90003
Yorkshire & Humber,E12000003,2018,gdhi_total_mn_gbp,93573
Yorkshire & Humber,E12000003,2019,gdhi_total_mn_gbp,96688
Yorkshire & Humber,E12000003,2020,gdhi_total_mn_gbp,97757
Yorkshire & Humber,E12000003,2021,gdhi_total_mn_gbp,100586
Yorkshire & Humber,E12000003,2022,gdhi_total_mn_gbp,106606
East Midlands,E12000004,1997,gdhi_per_head_gbp,9672
East Midlands,E12000004,1998,gdhi_per_head_gbp,9849
East Midlands,E12000004,1999,gdhi_per_head_gbp,10285
East Midlands,E12000004,2000,gdhi_per_head_gbp,10672
East Midlands,E12000004,2001,gdhi_per_head_gbp,11117
East Midlands,E12000004,2002,gdhi_per_head_gbp,11384
East Midlands,E12000004,2003,gdhi_per_head_gbp,11856
East Midlands,E12000004,2004,gdhi_per_head_gbp,12309
East Midlands,E12000004,2005,gdhi_per_head_gbp,12643
East Midlands,E12000004,2006,gdhi_per_head_gbp,13052
East Midlands,E12000004,2007,gdhi_per_head_gbp,13803
East Midlands,E12000004,2008,gdhi_per_head_gbp,13968
East Midlands,E12000004,2009,gdhi_per_head_gbp,14199
East Midlands,E12000004,2010,gdhi_per_head_gbp,14221
East Midlands,E12000004,2011,gdhi_per_head_gbp,14499
East Midlands,E12000004,2012,gdhi_per_head_gbp,14981
East Midlands,E12000004,2013,gdhi_per_head_gbp,15434
East Midlands,E12000004,2014,gdhi_per_head_gbp,15913
East Midlands,E12000004,2015,gdhi_per_head_gbp,16680
East Midlands,E12000004,2016,gdhi_per_head_gbp,16703
East Midlands,E12000004,2017,gdhi_per_head_gbp,17153
East Midlands,E12000004,2018,gdhi_per_head_gbp,17635
East Midlands,E12000004,2019,gdhi_per_head_gbp,18208
East Midlands,E12000004,2020,gdhi_per_head_gbp,18444
East Midlands,E12000004,2021,gdhi_per_head_gbp,18942
East Midlands,E12000004,2022,gdhi_per_head_gbp,19879
East Midlands,E12000004,1997,gdhi_total_mn_gbp,39850
East Midlands,E12000004,1998,gdhi_total_mn_gbp,40703
East Midlands,E12000004,1999,gdhi_total_mn_gbp,42710
East Midlands,E12000004,2000,gdhi_total_mn_gbp,44483
East Midlands,E12000004,2001,gdhi_total_mn_gbp,46577
East Midlands,E12000004,2002,gdhi_total_mn_gbp,48059
East Midlands,E12000004,2003,gdhi_total_mn_gbp,50446
East Midlands,E12000004,2004,gdhi_total_mn_gbp,52822
East Midlands,E12000004,2005,gdhi_total_mn_gbp,54733
