region_code,metric,year,value,ci_lower,ci_upper,ci_width
TLC3,emp_total_jobs,2025,269926.2503687598,262113.93504117566,277971.41203764186,15857.476996466197
TLC3,emp_total_jobs,2026,270093.3005195,262276.15035850735,278143.4411241754,15867.290765668033
TLC3,emp_total_jobs,2027,270077.24777565576,262260.56221970473,278126.90992771945,15866.347708014713
TLC3,emp_total_jobs,2028,270140.15967575304,262321.65329800075,278191.6969192778,15870.04362127703
TLC3,emp_total_jobs,2029,270220.0449238481,262399.226474753,278273.9631500857,15874.736675332708
TLC3,emp_total_jobs,2030,270005.06723571324,262190.47075830784,278052.5780441696,15862.10728586174
TLC3,emp_total_jobs,2031,269212.6717681746,261421.00912268853,277236.5652010207,15815.556078332156
TLC3,emp_total_jobs,2032,267956.96075929503,260201.64141257407,275943.42768004,15741.78626746594
TLC3,emp_total_jobs,2033,266639.10015807935,258921.92286890346,274586.2881958726,15664.365326969157
TLC3,emp_total_jobs,2034,265661.3716055885,257972.49213385867,273579.41840846173,15606.926274603058
TLC3,emp_total_jobs,2035,265166.1273166372,257491.5814065531,273069.4133455406,15577.831938987481
TLC3,emp_total_jobs,2036,264976.0781602372,257307.03273013802,272873.6997671506,15566.667037012608
TLC3,emp_total_jobs,2037,264750.6032176933,257088.0835750905,272641.50453577755,15553.420960687043
TLC3,emp_total_jobs,2038,264233.0234640031,256585.4838251513,272108.49829878216,15523.014473630843
TLC3,emp_total_jobs,2039,263417.1592968653,255793.23273058215,271268.3172705923,15475.084540010168
TLC3,emp_total_jobs,2040,262418.40011071035,254823.38003902687,270239.79003071936,15416.40999169249
TLC3,emp_total_jobs,2041,261535.60830532038,253966.1383531339,269330.68658359523,15364.54823046134
TLC3,emp_total_jobs,2042,260936.25812920518,253384.13481359466,268713.47275377274,15329.337940178084
TLC3,emp_total_jobs,2043,260574.75239200803,253033.09192248178,268341.1923249848,15308.100402503042
TLC3,emp_total_jobs,2044,260252.01506386296,252719.69538935757,268008.83579908486,15289.14040972729
TLC3,emp_total_jobs,2045,259763.43093516247,252245.2520612359,267505.6894027321,15260.437341496232
TLC3,emp_total_jobs,2046,259032.11262165592,251535.09985981425,266752.57412040344,15217.474260589195
TLC3,emp_total_jobs,2047,258143.85112180896,250672.54678558608,265837.837954381,15165.291168794938
TLC3,emp_total_jobs,2048,257272.8428159387,249826.74755637697,264940.86921440664,15114.121658029675
TLC3,emp_total_jobs,2049,256560.0898158901,249134.62334355986,264206.87258537585,15072.249241815996
TLC3,emp_total_jobs,2050,256028.35216607497,248618.2754610839,263659.28647564864,15041.011014564749
TLC3,employment_rate_pct,2026,70.48727477887871,60.080778206001334,80.8937713517561,20.812993145754767
TLC3,employment_rate_pct,2027,70.2615892992646,59.85509272638722,80.66808587214197,20.812993145754753
TLC3,employment_rate_pct,2028,70.05738063260236,59.65088405972498,80.46387720547975,20.812993145754767
TLC3,employment_rate_pct,2029,69.87260498991913,59.466108417041745,80.27910156279651,20.812993145754767
TLC3,employment_rate_pct,2030,69.70541307447769,59.29891650160031,80.11190964735508,20.812993145754767
TLC3,employment_rate_pct,2031,69.55413157339318,59.1476350005158,79.96062814627055,20.812993145754753
TLC3,employment_rate_pct,2032,69.41724641055526,59.010749837677885,79.82374298343265,20.812993145754767
TLC3,employment_rate_pct,2033,69.29338759324558,58.8868910203682,79.69988416612296,20.812993145754753
TLC3,employment_rate_pct,2034,69.18131550079009,58.77481892791271,79.58781207366746,20.812993145754753
TLC3,employment_rate_pct,2035,69.07990847801878,58.6734119051414,79.48640505089617,20.812993145754767
TLC3,employment_rate_pct,2036,68.98815160936368,58.5816550364863,79.39464818224107,20.812993145754767
TLC3,employment_rate_pct,2037,68.90512656124272,58.498629988365344,79.31162313412011,20.812993145754767
TLC3,employment_rate_pct,2038,68.83000239106866,58.42350581819128,79.23649896394605,20.812993145754767
TLC3,employment_rate_pct,2039,68.76202723089625,58.35553065801887,79.16852380377364,20.812993145754767
TLC3,employment_rate_pct,2040,68.70052076247528,58.2940241895979,79.10701733535265,20.812993145754753
