region_code,metric,year,value,ci_lower,ci_upper,ci_width
E12000001,emp_total_jobs,2025,1102413.9966981632,1071778.4192061808,1133925.257625685,62146.83841950423
E12000001,emp_total_jobs,2026,1105651.0879428869,1062450.0785886683,1150608.7230876577,88158.64449898945
E12000001,emp_total_jobs,2027,1108147.8946756034,1055353.42812111,1163583.4249955653,108229.99687445536
E12000001,emp_total_jobs,2028,1110977.0052021423,1050087.8875413786,1175396.7651010395,125308.87755966093
E12000001,emp_total_jobs,2029,1113885.1668327812,1045855.2863283568,1186340.1955407334,140484.90921237657
E12000001,emp_total_jobs,2030,1115404.195212289,1041001.195444747,1195124.9663701353,154123.77092538832
E12000001,emp_total_jobs,2031,1114510.6288670357,1034429.7075683762,1200791.0569172145,166361.34934883832
E12000001,emp_total_jobs,2032,1111657.2454014688,1026483.0294098803,1203898.9402133867,177415.91080350638
E12000001,emp_total_jobs,2033,1108493.0442180105,1018623.850475766,1206291.0450268758,187667.1945511098
E12000001,emp_total_jobs,2034,1106683.7320365696,1012320.8058577322,1209842.6463898162,197521.840532084
E12000001,emp_total_jobs,2035,1106820.8567947699,1008051.7014805633,1215267.4384028402,207215.7369222769
E12000001,emp_total_jobs,2036,1108159.6398951542,1005084.8523158198,1221805.089055991,216720.2367401712
E12000001,emp_total_jobs,2037,1109259.3332882724,1002079.5231088224,1227902.8162054552,225823.2930966328
E12000001,emp_total_jobs,2038,1109013.1070478726,998021.4504807375,1232348.3338073948,234326.88332665735
E12000001,emp_total_jobs,2039,1107349.0466580756,992842.4579923662,1235061.918699671,242219.46070730488
E12000001,emp_total_jobs,2040,1105158.7740561517,987337.9584694398,1237039.3596197392,249701.40115029947
E12000001,emp_total_jobs,2041,1103621.8334617268,982550.010084662,1239612.3747314147,257062.3646467527
E12000001,emp_total_jobs,2042,1103395.5478379591,979044.7285937277,1243540.4628932395,264495.73429951177
E12000001,emp_total_jobs,2043,1104257.119439905,976604.1078339014,1248595.7984943336,271991.6906604322
E12000001,emp_total_jobs,2044,1105342.0171034297,974448.8099904208,1253817.5040577953,279368.69406737445
E12000001,emp_total_jobs,2045,1105762.6054406585,971790.1639161062,1258204.6875877506,286414.5236716444
E12000001,emp_total_jobs,2046,1105173.6850004317,968325.1334760962,1261362.3583566567,293037.22488056053
E12000001,emp_total_jobs,2047,1103926.3648444773,964362.9484105589,1263687.5162067343,299324.5677961755
E12000001,emp_total_jobs,2048,1102756.6065617169,960544.69450336,1266023.4763404438,305478.78183708386
E12000001,emp_total_jobs,2049,1102266.5010799111,957388.169104811,1269068.783813159,311680.61470834794
E12000001,emp_total_jobs,2050,1102555.9007181206,954970.8058652992,1272949.3998582123,317978.59399291314
E12000001,employment_rate_pct,2026,71.2147619047619,68.30214944877194,74.12737436075186,5.825224911979916
E12000001,employment_rate_pct,2027,71.4117748917749,67.29271885457709,75.5308309289727,8.238112074395616
E12000001,employment_rate_pct,2028,71.60878787878788,66.56399512225529,76.65358063532047,10.089585513065174
E12000001,employment_rate_pct,2029,71.80580086580086,65.98057595382095,77.63102577778078,11.650449823959832
E12000001,employment_rate_pct,2030,72.00281385281386,65.49001440910769,78.51561329652003,13.025598887412343
E12000001,employment_rate_pct,2031,72.19982683982684,65.0654125041769,79.33424117547678,14.268828671299872
E12000001,employment_rate_pct,2032,72.39683982683982,64.69079160278133,80.10288805089831,15.412096448116984
E12000001,employment_rate_pct,2033,72.59385281385282,64.35574073945719,80.83196488824845,16.47622414879126
E12000001,employment_rate_pct,2034,72.7908658008658,64.05302843289591,81.52870316883569,17.475674735939776
E12000001,employment_rate_pct,2035,72.9878787878788,63.777389485573586,82.198368090184,18.42097860461042
E12000001,employment_rate_pct,2036,73.18489177489178,63.524849098657555,82.84493445112601,19.320085352468453
E12000001,employment_rate_pct,2037,73.38190476190476,63.2923192488396,83.47149027496992,20.179171026130327
E12000001,employment_rate_pct,2038,73.57891774891776,63.077344193290855,84.08049130454467,21.00314711125381
E12000001,employment_rate_pct,2039,73.77593073593074,62.87793282516611,84.67392864669537,21.79599582152926
E12000001,employment_rate_pct,2040,73.97294372294373,62.692444186938324,85.25344325894913,22.56099907201081
E12000001,employment_rate_pct,2041,74.16995670995672,62.519506885996876,85.82040653391657,23.300899647919692
E12000001,employment_rate_pct,2042,74.3669696969697,62.357960894433425,86.37597849950598,24.01801760507255
E12000001,employment_rate_pct,2043,74.56398268398269,62.20681457238925,86.92115079557612,24.714336223186876
E12000001,employment_rate_pct,2044,74.76099567099568,62.06521231363763,87.45677902835374,25.391566714716106
