region,region_code,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
East,E12000006,emp_total_jobs,,,,,,,,,,,,,,,,,,,2423000.0,2400000.0,2405000.0,2419000.0,2447000.0,2557000.0,2611000.0,2701000.0,2763000.0,2764000.0,2784000.0,2780000.0,2829000.0,2821000.0,2891000.0,2908000.0,2978789.587172805,3012179.671481021,3041648.1584493383,3072308.303187413,3103477.6318221595,3131042.3867175,3152022.887854966,3167557.6299734097,3182255.669359872,3200914.6710264473,3225346.5142956073,3253492.7898922237,3281172.6726356787,3305073.695471115,3324891.511908174,3343228.7554023573,3363645.1684915004,3388204.3343244637,3416308.242672894,3445339.270607424,3472527.459145363,3496735.6365465783,3519012.780891402,3541676.430321685,3566681.231001861,3594403.096243512
East,E12000006,employment_rate_pct,,,,,,,,,,,,,,,76.5,75.6,75.2,75.6,74.8,73.4,73.4,74.0,74.9,75.7,76.3,77.1,77.0,78.1,78.3,78.1,76.9,77.9,78.2,76.2,78.7,78.29666666666668,78.47991341991344,78.6631601731602,78.84640692640696,79.0296536796537,79.21290043290045,79.39614718614722,79.57939393939397,79.76264069264072,79.94588744588748,80.12913419913423,80.31238095238099,80.49562770562774,80.67887445887449,80.86212121212125,81.045367965368,81.22861471861476,81.41186147186151,81.59510822510826,81.77835497835503,81.96160173160177,82.14484848484854,82.32809523809529,82.51134199134204,82.6945887445888
East,E12000006,gdhi_total_mn_gbp,,,,,,,58850.0,60202.0,63177.0,66930.0,70299.0,72509.0,74492.0,77331.0,80884.0,84018.0,88265.0,92004.0,95129.0,96756.0,98404.0,102794.0,107406.0,112034.0,119492.0,122572.0,126960.0,132526.0,136939.0,136868.0,142751.0,151771.0,166455.0,168215.72216240547,174322.24984077516,182401.37172623753,189839.1834555498,197508.07593956782,205476.95764291196,213757.14818548143,222360.37722064598,231298.79860960366,240585.0050601322,250232.0432440276,260253.42940798315,270663.16549304157,281475.7557782232,292706.22406436084,304370.1314146273,316483.59446874337,329063.3043483058,342126.5461711796,355691.2191934379,369775.8575978111,384399.6519481949,399582.471330286,415344.8861989798,431708.1919537999,448694.433264158,466326.4291669043
East,E12000006,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,39265.300765992615,40317.71329049201,40915.68564785727,42497.76665083178,43894.82042508053,43800.68985894636,45447.59294944441,45393.81405916523,45953.06293449793,47954.96552821336,49183.944411589895,49241.74157426508,50470.0859196834,53804.71360372703,57603.182146819614,57845.76289956326,58513.24358609149,60543.13788151059,62430.00936174978,64301.68836223724,66228.19816229263,68320.10642868494,70586.0795398937,72948.78931023611,75587.81222575872,78217.67945050252,80716.02404031174,83209.14683771638,85812.33333875332,88706.78867851099,91599.68921635996,94766.48945713963,97867.93062842038,101076.36393127198,104196.89623026164,107385.72341399682,110847.67118527155,114353.64592272787,118271.85561809549,122089.5803761908,126019.70215150027,129889.39468844324
East,E12000006,nominal_gva_mn_gbp,,,,,,,,77552.0,80595.0,84942.0,89423.0,92845.0,98776.0,101960.0,107535.0,112826.0,117070.0,121766.0,118559.0,119996.0,120744.0,124608.0,130010.0,137035.0,141969.0,148110.0,158305.0,161802.0,168571.0,159982.0,173622.0,187608.0,205310.0,208578.1894801354,216764.19938775143,222424.441934155,227631.58478886553,232568.2944941244,237375.92693086344,242159.46529435468,246994.19207742135,251932.3610944156,257009.0577176153,262246.9765368778,267660.1290790046,273256.620284776,279040.670741232,285014.0559999959,291157.19898045616,297487.53634210845,304008.31324603467,310720.7245136512,317624.8938527101,324720.51321509894,332007.247996083,339484.98282411037,347153.9604197228,355014.85008430615,363068.77107003523,371317.28809393145
East,E12000006,population_16_64,3277951.0,3284204.0,3281436.0,3286101.0,3299920.0,3318190.0,3341711.0,3364857.0,3384053.0,3409463.0,3428690.0,3450579.0,3479466.0,3504116.0,3548702.0,3586629.0,3620187.0,3649304.0,3665808.0,3694277.0,3719075.0,3719105.0,3734063.0,3761865.0,3787652.0,3818435.0,3834843.0,3848116.0,3861902.0,3876488.0,3912332.0,3929454.0,3981458.0,4028657.0,4045221.6531479745,4063126.947509865,4082263.46778085,4102544.672066733,4118945.85470176,4135904.18832139,4152892.062231398,4169797.205611938,4186621.8120649946,4203367.974863859,4220037.69069573,4236632.863265435,4253155.306765536,4269606.749217803,4285988.835690714,4302303.131397796,4318551.1246811235,4334734.2298843125,4350853.790119081,4366911.079929435,4382907.307857244,4398843.618912852,4414721.09695439,4430540.766979093,4446303.597329921,4462010.501820732
East,E12000006,population_total,5121052.0,5142589.0,5154369.0,5177915.0,5205700.0,5232760.0,5266915.0,5302028.0,5338722.0,5374972.0,5400463.0,5432688.0,5474133.0,5508564.0,5562653.0,5606294.0,5653534.0,5708350.0,5751443.0,5807402.0,5862418.0,5915033.0,5970484.0,6039521.0,6098262.0,6161075.0,6202843.0,6237376.0,6274179.0,6297779.0,6349646.0,6402514.0,6493348.0,6576306.0,6603011.360317135,6644780.237924784,6707546.210232031,6770419.387408261,6829337.549651683,6885689.665531016,6937802.88661019,6989845.453622842,7041820.405411786,7093730.7904704185,7145579.664443065,7197370.087747893,7249105.123317301,7300787.834452629,7352421.282788692,7404008.52636474,7455552.617797822,7507056.602554666,7558523.517319138,7609956.388450849,7661358.230532317,7712732.045000773,7764080.81886147,7815407.523479365,7866715.113446164,7918006.525519516
East,E12000006,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,48933.996674322996,50009.5365326519,50216.271610189346,51514.26131761749,53135.57690441696,53597.79297028503,54019.25355682838,54843.280090202796,57308.27939592419,58535.90133462205,60562.57870281514,57544.994378299925,61377.21370360033,66495.56297467089,71009.42487926791,71722.2531145915,72732.07812824953,73814.71265452827,74812.44768950599,75627.49012229157,76368.64344719393,77247.12640202597,78361.11614728654,79456.87841643834,80515.80471626959,81765.84471801619,82784.4677631334,83822.17789446535,84601.50447897351,85956.8724122179,87321.24573901371,88522.9277294303,90020.42980985611,91165.27407878585,92442.34099794096,93826.59102783317,95059.15818150625,96476.01723592705,98078.90105119179,99534.85901843193,100854.62793329597,102787.89882892116
East,E12000006,unemployment_rate_pct,,,,,,,,,,,,,,,3.8,4.4,4.3,4.2,5.8,6.6,6.7,6.7,6.5,5.4,4.6,3.7,3.9,3.6,3.2,3.5,4.3,3.0,3.5,3.5,3.5,3.358095238095238,3.253419913419913,3.1487445887445884,3.0440692640692637,2.939393939393939,2.8347186147186143,2.73004329004329,2.6253679653679654,2.5206926406926407,2.416017316017316,2.3113419913419913,2.2066666666666666,2.101991341991342,1.9973160173160172,1.8926406926406925,1.7879653679653678,1.683290043290043,1.5786147186147188,1.4739393939393937,1.3692640692640694,1.2645887445887443,1.15991341991342,1.0552380952380958,0.9505627705627706,0.8458874458874464
East Midlands,E12000004,emp_total_jobs,,,,,,,,,,,,,,,,,,,1907000.0,1906000.0,1902000.0,1903000.0,1907000.0,1947000.0,1995000.0,2062000.0,2062000.0,2070000.0,2089000.0,2049000.0,2109000.0,2167000.0,2137000.0,2177000.0,2190428.0010147626,2205893.6360887024,2218335.397947095,2231503.4730503946,2244894.4750286336,2255541.3717870982,2261339.4116708655,2263161.016074052,2264334.253584443,2268266.6293391883,2276202.653466262,2286645.9855023026,2296638.8618700113,2303877.111497695,2308182.695111273,2311390.55352308,2315964.804628945,2323303.3152237497,2332963.2963089044,2343135.429115792,2351936.6734313997,2358616.1832090137,2363904.120144986,2369367.536148221,2376306.1270888885,2384950.7222709367
East Midlands,E12000004,employment_rate_pct,,,,,,,,,,,,,,,73.8,74.4,74.3,73.7,72.9,71.5,70.9,71.0,71.1,72.9,73.7,74.5,73.9,74.5,76.0,76.6,74.1,75.1,75.1,75.7,74.7,75.36714285714287,75.507012987013,75.64688311688313,75.78675324675325,75.92662337662338,76.06649350649352,76.20636363636365,76.34623376623378,76.4861038961039,76.62597402597403,76.76584415584416,76.9057142857143,77.04558441558443,77.18545454545455,77.32532467532468,77.46519480519481,77.60506493506495,77.74493506493508,77.88480519480521,78.02467532467533,78.16454545454546,78.3044155844156,78.44428571428573,78.58415584415586,78.72402597402598
East Midlands,E12000004,gdhi_total_mn_gbp,,,,,,,39720.0,40615.0,42642.0,44420.0,46505.0,48092.0,50384.0,52807.0,54673.0,56977.0,60776.0,61984.0,63449.0,64067.0,65759.0,68436.0,71028.0,73852.0,78062.0,79002.0,81969.0,85164.0,88634.0,89607.0,92876.0,98673.0,108089.0,109456.92980493089,112446.82360758919,117440.47531437449,122003.10621680689,126696.67562774637,131564.5300534284,136612.88701775044,141848.1758723667,147277.04463709923,152906.367047819,158743.24981763455,164795.04011740428,171069.3332817234,177573.98074670948,184317.0982260718,191307.0741321073,198552.57824845574,206062.57066161034,213846.31095835593,221913.36769650862,230273.62815650305,238937.3083815738,247914.9635144871,257217.4984389418,266856.17873403325,276842.6419503229,287188.9092163026
East Midlands,E12000004,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,33275.79732497278,33622.6758715442,34587.163760069816,35963.34359521096,37249.10957037876,37933.15841686332,38837.34933360641,38318.8414275226,39756.594730279176,41153.339203270865,42430.81576095942,43729.38707133704,44056.81397059802,45539.80716496749,50588.11167947711,50281.92936382275,51345.99284140681,53228.76618944762,54995.73116741731,56773.7830058025,58616.448863541795,60604.210107758234,62734.96566884117,65035.3873293673,67454.49229053555,69965.91682979243,72375.74186879135,74800.77108593614,77271.14889122728,79934.78781286762,82787.31839850561,85846.99669476492,88904.07380968473,91983.06685730536,95113.28831651974,98257.74554000495,101510.94197344202,105092.67936910415,108738.72098847566,112600.25076889929,116381.07281284008,120231.3639277606
East Midlands,E12000004,nominal_gva_mn_gbp,,,,,,,,54263.0,55733.0,57797.0,60160.0,62582.0,65730.0,68954.0,72582.0,76609.0,80126.0,83432.0,81084.0,83954.0,85178.0,88426.0,92063.0,95446.0,98321.0,100929.0,104692.0,109384.0,113395.0,110619.0,118965.0,128254.0,139722.0,143601.82603704688,148703.43768763775,152602.62609749762,156191.74069853013,159596.03453544911,162912.4620514479,166213.05339216845,169549.48117281357,172957.63018269424,176461.61262953267,180077.0425682052,183813.5776411398,187676.82284566542,191669.71743174506,195793.52224357578,200034.82867190562,204405.65479763923,208908.27168445953,213543.54224980855,218311.59356482487,223212.2559574606,228245.34141786816,233410.8125799651,238708.8782830365,244140.04080126737,249705.11207225715,255405.21077554036
East Midlands,E12000004,population_16_64,2568616.0,2578116.0,2583477.0,2588508.0,2599638.0,2612702.0,2622069.0,2631575.0,2647199.0,2660124.0,2678372.0,2706046.0,2734221.0,2766396.0,2799469.0,2833494.0,2862836.0,2882436.0,2893509.0,2908899.0,2919158.0,2916044.0,2920926.0,2931881.0,2948132.0,2972061.0,2994325.0,3010552.0,3021159.0,3027024.0,3042790.0,3071450.0,3112252.0,3146117.0,3159171.0049087293,3172421.6665785634,3186627.1389503404,3201719.2191678337,3213776.801589364,3226263.257313737,3238766.813059415,3251199.9171421,3263564.326287824,3275861.7174315783,3288093.6907245386,3300261.7724291435,3312367.417706025,3324412.013297067,3336396.880108263,3348323.2756963363,3360192.3966625673,3372005.380957432,3383763.310099326,3395467.2113106064,3407118.0595741225,3418716.7796131005,3430264.2477974244,3441761.2939788694,3453208.7032581996,3464607.2176864496
East Midlands,E12000004,population_total,4011411.0,4036691.0,4055893.0,4071720.0,4091663.0,4108070.0,4120320.0,4132645.0,4152443.0,4168076.0,4189622.0,4221753.0,4255080.0,4291476.0,4329112.0,4366676.0,4404774.0,4441125.0,4471653.0,4507071.0,4537448.0,4570702.0,4604568.0,4642629.0,4681640.0,4731615.0,4778346.0,4815151.0,4844001.0,4855469.0,4881559.0,4936277.0,5004242.0,5063164.0,5081379.86457705,5111163.841512476,5141835.276512977,5183539.543126657,5225135.592687098,5264711.447432191,5300992.9414430605,5337169.362700885,5373243.191031678,5409216.907196008,5445092.990970145,5480873.919328241,5516562.164721289,5552160.193449899,5587670.4641272165,5623095.426228709,5658437.518725725,5693699.168799265,5728882.790631405,5763990.784270806,5799025.53456971,5833989.410189502,5868884.762671893,5903713.925573196,5938479.213659022,5973182.922156774
East Midlands,E12000004,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,42522.342753734396,44048.49191316923,44778.81580767741,46472.561213318775,48274.88714788761,49038.747887437974,48928.321184683795,48944.249990002245,50765.42015358251,52845.88583043363,54297.047874081596,53996.419175387404,56412.78106329569,59193.94390408773,65395.83313601268,65944.5049333087,67871.22132062244,69141.2463368815,70374.3015211309,71424.61521571042,72461.20799074633,73580.60796137167,75003.82974517286,76472.72817871532,77809.87768487,79159.04963897211,80613.13611142879,81903.10351092232,83229.44054121355,84832.19071918915,86559.01331962361,88138.99400850537,89927.51104197904,91587.92406342427,93136.84214827236,94880.68688450869,96452.73095767341,98539.79751441618,100444.46462836437,102537.77686553267,104663.05913168914,106413.06021329509
East Midlands,E12000004,unemployment_rate_pct,,,,,,,,,,,,,,,4.3,5.0,4.9,5.3,6.8,7.2,7.7,8.1,7.9,6.5,5.1,4.2,4.4,3.9,4.6,4.0,5.4,3.1,3.6,4.4,3.9,3.9109523809523785,3.7890043290043267,3.667056277056275,3.5451082251082227,3.423160173160171,3.3012121212121186,3.179264069264067,3.057316017316015,2.9353679653679627,2.813419913419911,2.6914718614718587,2.569523809523807,2.4475757575757546,2.325627705627703,2.203679653679651,2.081731601731599,1.9597835497835465,1.8378354978354947,1.715887445887443,1.593939393939391,1.4719913419913393,1.3500432900432866,1.2280952380952348,1.106147186147183,0.9841991341991312
