region,region_code,metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
South East,E12000008,gdhi_per_head_gbp,12683.0,12905.0,13339.0,14039.0,14504.0,14840.0,15047.0,15627.0,16185.0,16918.0,17730.0,18086.0,18443.0,18484.0,18661.0,19310.0,20083.0,20575.0,21790.0,22082.0,22624.0,23405.0,24148.0,23816.0,24606.0,26058.0,26804.585599384358,27572.217481144533,28361.47909377469,29172.969782875876,30007.305216617475,30865.11782237602,31747.05723483956,32653.79075587306
South East,E12000008,gdhi_total_mn_gbp,99604.0,101808.0,106113.0,112177.0,116375.0,119391.0,121701.0,127094.0,132765.0,139927.0,148072.0,152399.0,156600.0,158556.0,161471.0,168611.0,176915.0,182990.0,195449.0,199906.0,205990.0,214157.0,222009.0,219706.0,228729.0,244613.0,255432.85102171087,265877.29398206284,275057.78906609194,284542.4298305974,294340.9433547893,304463.3581739803,314920.01335497765,325721.5678372938
South West,E12000009,gdhi_per_head_gbp,10914.0,11127.0,11525.0,11959.0,12423.0,12597.0,12930.0,13396.0,13901.0,14614.0,15134.0,15612.0,15699.0,16065.0,16312.0,16685.0,17306.0,17888.0,18686.0,18841.0,19265.0,19996.0,20725.0,20627.0,21304.0,22612.0,23269.714515117954,23945.724553536304,24640.514814100177,25354.58216364063,26088.43592458706,26842.598168927343,27617.604018644786,28414.001952764178
South West,E12000009,gdhi_total_mn_gbp,52685.0,53962.0,56252.0,58802.0,61409.0,62686.0,64734.0,67495.0,70703.0,74819.0,78253.0,81260.0,82058.0,84524.0,86466.0,89039.0,93014.0,96992.0,102242.0,104133.0,107397.0,112171.0,116946.0,116792.0,121705.0,130402.0,135665.97261974396,141033.01417434,145983.3322632725,151096.8485369347,156378.6233349833,161833.8644425737,167467.9311158208,173286.33820972894
Wales,W92000004,gdhi_per_head_gbp,9264.0,9297.0,9721.0,10277.0,10702.0,10993.0,11404.0,11868.0,12162.0,12545.0,12912.0,13440.0,13456.0,13660.0,13883.0,14300.0,14616.0,15092.0,15591.0,15717.0,16237.0,16860.0,17300.0,17668.0,18015.0,18652.0,19145.9922694866,19651.823482572436,20169.744616702843,20700.01118189095,21242.88328545337,21798.625697338033,22367.50791604307,22949.804235126514
Wales,W92000004,gdhi_total_mn_gbp,26817.0,26957.0,28198.0,29875.0,31146.0,32132.0,33503.0,35098.0,36114.0,37456.0,38819.0,40667.0,40892.0,41662.0,42535.0,43914.0,44886.0,46391.0,47906.0,48364.0,50033.0,51993.0,53419.0,54849.0,55948.0,58432.0,60641.694840905264,62622.12732491915,64430.318164490636,66286.143967934,68190.72931322621,70145.22191576047,72150.79302315968,74208.63781508942
West Midlands,E12000005,gdhi_per_head_gbp,9681.0,9974.0,10351.0,10808.0,11228.0,11486.0,11780.0,12190.0,12391.0,12852.0,13201.0,13548.0,13873.0,14012.0,14188.0,14568.0,15057.0,15606.0,16391.0,16671.0,16915.0,17439.0,17910.0,18027.0,18507.0,19480.0,20220.44674687181,20792.89804344706,21381.021493366123,21985.23106707846,22605.951257187317,23243.617334997438,23898.675613040345,24571.58371370946
West Midlands,E12000005,gdhi_total_mn_gbp,50945.0,52576.0,54568.0,56955.0,59293.0,60892.0,62735.0,65175.0,66673.0,69601.0,71970.0,74461.0,76687.0,77988.0,79575.0,82167.0,85478.0,89217.0,94351.0,96898.0,99039.0,102703.0,106044.0,106937.0,110231.0,117212.0,123465.15813674242,128649.90194600783,132288.63223564802,136027.0004173932,139867.5196733264,143812.88661416052,147865.86255614893,152029.27890346484
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,9482.0,9729.0,10199.0,10629.0,10983.0,11264.0,11618.0,12004.0,12302.0,12729.0,13247.0,13417.0,13784.0,13841.0,14067.0,14477.0,14883.0,15300.0,16021.0,16106.0,16582.0,17189.0,17693.0,17876.0,18347.0,19249.0,19792.863742797752,20351.08041983391,20924.000309731928,21511.981487320463,22115.389978659983,22734.599918731896,23369.993711827046,24021.962194670992
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,47006.0,48233.0,50550.0,52703.0,54660.0,56320.0,58397.0,60779.0,62844.0,65350.0,68412.0,69752.0,72000.0,72733.0,74388.0,76921.0,79402.0,81955.0,86151.0,87103.0,90003.0,93573.0,96688.0,97757.0,100586.0,106606.0,111048.31726483288,115450.90588066181,119243.1012635217,123151.1995093594,127178.47577275701,131328.289965381,135604.0887364373,140009.40749398948
