region,region_code,metric,year,forecast_value,method,ci_lower,ci_upper
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2030,24021.962194670992,"arima(1, 1, 1)_log_lb_p=1.000",21734.10918482636,26550.64731546818
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2023,111048.31726483288,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2024,115450.90588066181,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2025,119243.1012635217,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2026,123151.1995093594,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2027,127178.47577275701,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2028,131328.289965381,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2029,135604.0887364373,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2030,140009.40749398948,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East Midlands,E12000004,gdhi_per_head_gbp,2023,20448.038389918464,"arima(1, 1, 1)_log_lb_p=1.000",19888.382328857173,21023.443087621166
East Midlands,E12000004,gdhi_per_head_gbp,2024,21033.137061848807,"arima(1, 1, 1)_log_lb_p=1.000",20199.367688566977,21901.321936573106
East Midlands,E12000004,gdhi_per_head_gbp,2025,21634.742759474808,"arima(1, 1, 1)_log_lb_p=1.000",20558.79143706192,22767.00435925717
East Midlands,E12000004,gdhi_per_head_gbp,2026,22253.314469126322,"arima(1, 1, 1)_log_lb_p=1.000",20944.672384466383,23643.721695503787
East Midlands,E12000004,gdhi_per_head_gbp,2027,22889.32375015591,"arima(1, 1, 1)_log_lb_p=1.000",21348.985259188998,24540.798327355915
East Midlands,E12000004,gdhi_per_head_gbp,2028,23543.25507409089,"arima(1, 1, 1)_log_lb_p=1.000",21767.845877594544,25463.46857656811
East Midlands,E12000004,gdhi_per_head_gbp,2029,24215.606172789445,"arima(1, 1, 1)_log_lb_p=1.000",22199.080538387516,26415.309467507905
East Midlands,E12000004,gdhi_per_head_gbp,2030,24906.888395836544,"arima(1, 1, 1)_log_lb_p=1.000",22641.35978733096,27399.109213828116
East Midlands,E12000004,gdhi_total_mn_gbp,2023,102326.93252844235,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East Midlands,E12000004,gdhi_total_mn_gbp,2024,106494.22237861865,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East Midlands,E12000004,gdhi_total_mn_gbp,2025,110153.88246726638,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East Midlands,E12000004,gdhi_total_mn_gbp,2026,113934.53102369113,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East Midlands,E12000004,gdhi_total_mn_gbp,2027,117840.03916193605,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East Midlands,E12000004,gdhi_total_mn_gbp,2028,121874.39832445727,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East Midlands,E12000004,gdhi_total_mn_gbp,2029,126041.72392483361,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East Midlands,E12000004,gdhi_total_mn_gbp,2030,130346.25909805583,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
West Midlands,E12000005,gdhi_per_head_gbp,2023,20220.44674687181,"arima(1, 1, 2)_log_lb_p=1.000",19778.818833078596,20671.935472672423
West Midlands,E12000005,gdhi_per_head_gbp,2024,20792.89804344706,"arima(1, 1, 2)_log_lb_p=1.000",19964.182534300973,21656.013628525096
West Midlands,E12000005,gdhi_per_head_gbp,2025,21381.021493366123,"arima(1, 1, 2)_log_lb_p=1.000",20246.055618759197,22579.611985072726
West Midlands,E12000005,gdhi_per_head_gbp,2026,21985.23106707846,"arima(1, 1, 2)_log_lb_p=1.000",20565.150852895185,23503.37172483154
West Midlands,E12000005,gdhi_per_head_gbp,2027,22605.951257187317,"arima(1, 1, 2)_log_lb_p=1.000",20905.750080155707,24444.424633556253
West Midlands,E12000005,gdhi_per_head_gbp,2028,23243.617334997438,"arima(1, 1, 2)_log_lb_p=1.000",21261.083863764346,25411.016215244705
West Midlands,E12000005,gdhi_per_head_gbp,2029,23898.675613040345,"arima(1, 1, 2)_log_lb_p=1.000",21627.567209184515,26408.272855339095
West Midlands,E12000005,gdhi_per_head_gbp,2030,24571.58371370946,"arima(1, 1, 2)_log_lb_p=1.000",22003.056886745475,27439.947517634944
West Midlands,E12000005,gdhi_total_mn_gbp,2023,123465.15813674242,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
West Midlands,E12000005,gdhi_total_mn_gbp,2024,128649.90194600783,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
West Midlands,E12000005,gdhi_total_mn_gbp,2025,132288.63223564802,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
West Midlands,E12000005,gdhi_total_mn_gbp,2026,136027.0004173932,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
West Midlands,E12000005,gdhi_total_mn_gbp,2027,139867.5196733264,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
West Midlands,E12000005,gdhi_total_mn_gbp,2028,143812.88661416052,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
West Midlands,E12000005,gdhi_total_mn_gbp,2029,147865.86255614893,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
West Midlands,E12000005,gdhi_total_mn_gbp,2030,152029.27890346484,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
East,E12000006,gdhi_per_head_gbp,2023,24374.215011016197,"arima(1, 1, 1)_log_lb_p=1.000",23651.71656866203,25118.78390215529
East,E12000006,gdhi_per_head_gbp,2024,25108.90913715902,"arima(1, 1, 1)_log_lb_p=1.000",24042.76044914893,26222.33496821388
East,E12000006,gdhi_per_head_gbp,2025,25865.728657580632,"arima(1, 1, 1)_log_lb_p=1.000",24502.43406290754,27304.875804171344
East,E12000006,gdhi_per_head_gbp,2026,26645.33927956641,"arima(1, 1, 1)_log_lb_p=1.000",25001.789071686766,28396.93204704353
East,E12000006,gdhi_per_head_gbp,2027,27448.426722045246,"arima(1, 1, 1)_log_lb_p=1.000",25530.328014681367,29510.632573237253
East,E12000006,gdhi_per_head_gbp,2028,28275.69731660921,"arima(1, 1, 1)_log_lb_p=1.000",26083.060099524595,30652.655619770387
East,E12000006,gdhi_per_head_gbp,2029,29127.878626567504,"arima(1, 1, 1)_log_lb_p=1.000",26657.282802332942,31827.44916559149
East,E12000006,gdhi_per_head_gbp,2030,30005.720084575598,"arima(1, 1, 1)_log_lb_p=1.000",27251.43098101468,33038.383871333135
East,E12000006,gdhi_total_mn_gbp,2023,158270.26029335198,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East,E12000006,gdhi_total_mn_gbp,2024,165123.8698121537,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East,E12000006,gdhi_total_mn_gbp,2025,171137.6409236092,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East,E12000006,gdhi_total_mn_gbp,2026,177363.7467329507,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East,E12000006,gdhi_total_mn_gbp,2027,183809.51597302727,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East,E12000006,gdhi_total_mn_gbp,2028,190482.52595339465,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East,E12000006,gdhi_total_mn_gbp,2029,197390.61087534114,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
East,E12000006,gdhi_total_mn_gbp,2030,204541.87042191546,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
London,E12000007,gdhi_per_head_gbp,2023,33106.02347617462,"arima(2, 1, 2)_log_lb_p=1.000",31725.275935031143,34546.86391536816
London,E12000007,gdhi_per_head_gbp,2024,34419.94523133933,"arima(2, 1, 2)_log_lb_p=1.000",31726.920437066427,37341.55768689988
London,E12000007,gdhi_per_head_gbp,2025,35580.851242388104,"arima(2, 1, 2)_log_lb_p=1.000",32102.771379107795,39435.753386601726
London,E12000007,gdhi_per_head_gbp,2026,36860.28750746078,"arima(2, 1, 2)_log_lb_p=1.000",32570.720801175103,41714.79051466524
London,E12000007,gdhi_per_head_gbp,2027,38154.15929577932,"arima(2, 1, 2)_log_lb_p=1.000",33100.8421010436,43978.937669437924
London,E12000007,gdhi_per_head_gbp,2028,39505.234876109695,"arima(2, 1, 2)_log_lb_p=1.000",33677.410983446985,46341.55468137638
London,E12000007,gdhi_per_head_gbp,2029,40898.98791564095,"arima(2, 1, 2)_log_lb_p=1.000",34288.588454557954,48783.78749071517
