region_code,region,year,metric,value,ci_lower,ci_upper,method,source,data_type,formula
K02000001,United Kingdom,2027,uk_productivity_gbp_per_job,84688.69927177917,59790.221685876095,109587.17685768225,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2027,uk_income_per_worker_gbp,59685.99731116076,42138.3141016795,77233.68052064202,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2028,uk_productivity_gbp_per_job,85983.80583465556,60704.56691926683,111263.0447500443,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2028,uk_income_per_worker_gbp,61527.879490164356,43438.68292005603,79617.07606027268,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2029,uk_productivity_gbp_per_job,87205.97139507756,61567.41580492476,112844.52698523036,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2029,uk_income_per_worker_gbp,63419.8232176513,44774.39519166182,82065.25124364079,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2030,uk_productivity_gbp_per_job,88510.76018278311,62488.596689044876,114532.92367652134,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2030,uk_income_per_worker_gbp,65449.028274413555,46207.01396173597,84691.04258709114,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2031,uk_productivity_gbp_per_job,90012.85137744375,63549.07307247529,116476.6296824122,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2031,uk_income_per_worker_gbp,67686.63058405617,47786.761192343656,87586.49997576867,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2032,uk_productivity_gbp_per_job,91704.00665898026,64743.028701240066,118664.98461672045,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2032,uk_income_per_worker_gbp,70121.21813107484,49505.58000053884,90736.85626161084,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2033,uk_productivity_gbp_per_job,93467.82553914699,65988.28483063777,120947.3662476562,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2033,uk_income_per_worker_gbp,72661.14618733426,51298.76920825799,94023.52316641054,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2034,uk_productivity_gbp_per_job,95170.69176154508,67190.50838365083,123150.87513943933,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2034,uk_income_per_worker_gbp,75198.3264734805,53090.01849027723,97306.63445668377,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2035,uk_productivity_gbp_per_job,96758.77012299695,68311.69170683585,125205.84853915806,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2035,uk_income_per_worker_gbp,77684.16133519517,54845.017902647785,100523.30476774255,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2036,uk_productivity_gbp_per_job,98292.01218182447,69394.16060036808,127189.86376328085,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2036,uk_income_per_worker_gbp,80161.75876215051,56594.20168607826,103729.31583822276,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2037,uk_productivity_gbp_per_job,99896.04291592826,70526.60629864535,129265.47953321118,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2037,uk_income_per_worker_gbp,82732.82732806297,58409.37609361246,107056.27856251347,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2038,uk_productivity_gbp_per_job,101672.99276244653,71781.13289028726,131564.8526346058,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2038,uk_income_per_worker_gbp,85486.45719900781,60353.43878249952,110619.4756155161,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2039,uk_productivity_gbp_per_job,103628.51303343035,73161.73020160184,134095.29586525887,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2039,uk_income_per_worker_gbp,88441.10433594104,62439.419661174376,114442.7890107077,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2040,uk_productivity_gbp_per_job,105691.18066969735,74617.97355280633,136764.38778658837,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2040,uk_income_per_worker_gbp,91537.779460725,64625.67229927184,118449.88662217815,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2041,uk_productivity_gbp_per_job,107749.76180787671,76071.33183636096,139428.19177939248,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2041,uk_income_per_worker_gbp,94683.16985267418,66846.31791598798,122520.02178936038,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2042,uk_productivity_gbp_per_job,109734.89054851147,77472.8327272491,141996.94836977383,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2042,uk_income_per_worker_gbp,97816.37036725655,69058.35747928312,126574.38325522997,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2043,uk_productivity_gbp_per_job,111661.32177886342,78832.89317587757,144489.75038184927,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2043,uk_income_per_worker_gbp,100949.44647519581,71270.30921148825,130628.58373890338,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2044,uk_productivity_gbp_per_job,113611.49566112724,80209.71593675582,147013.27538549865,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2044,uk_income_per_worker_gbp,104157.49767329768,73535.19335734817,134779.8019892472,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2045,uk_productivity_gbp_per_job,115676.13710601523,81667.35279684675,149684.9214151837,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2045,uk_income_per_worker_gbp,107527.63136681059,75914.50774496829,139140.7549886529,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2046,uk_productivity_gbp_per_job,117894.9236267539,83233.81608048826,152556.03117301952,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2046,uk_income_per_worker_gbp,111103.54226391616,78439.10083832481,143767.9836895075,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2047,uk_productivity_gbp_per_job,120235.33803319566,84886.14865143615,155584.52741495517,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2047,uk_income_per_worker_gbp,114862.03514673792,81092.59681359699,148631.47347987886,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2048,uk_productivity_gbp_per_job,122619.64894578887,86569.47215572695,158669.82573585078,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2048,uk_income_per_worker_gbp,118734.47366483297,83826.53840737208,153642.40892229386,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2049,uk_productivity_gbp_per_job,124978.89299650842,88235.09845553496,161722.6875374819,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2049,uk_income_per_worker_gbp,122656.76345031516,86595.67499592251,158717.85190470782,derived,calculated,forecast,gdhi / emp * 1e6
K02000001,United Kingdom,2050,uk_productivity_gbp_per_job,127296.99960073932,89871.68171812195,164722.3174833567,derived,calculated,forecast,gva / emp * 1e6
K02000001,United Kingdom,2050,uk_income_per_worker_gbp,126613.73844650207,89389.29934323046,163838.17754977368,derived,calculated,forecast,gdhi / emp * 1e6
