region_code,metric,original_cagr,dampened_cagr,cagr_reduction,original_final,dampened_final,reduction_pct
TLC3,emp_total_jobs,0.004186842221155063,0.003800849770738468,0.0003859924504165946,300840.5257150737,297962.87095094717,0.9565382713271675
TLC3,gdhi_total_mn_gbp,0.030943641213712292,0.03105324173309376,-0.00010960051938146975,29262.16027005749,29343.150877400334,-0.2767758996444103
TLC3,nominal_gva_mn_gbp,0.028010470380603003,0.026813898821074433,0.0011965715595285698,33771.07342484256,32763.785967571526,2.98269304205786
TLC3,population_16_64,0.000790932341368622,-0.00018994381085724044,0.0009808761522258624,431298.0855614975,429057.9877106728,0.5193850670374256
TLC3,population_total,0.0017737110742093165,0.00022662527886141426,0.0015470857953479022,715808.5152205165,713323.2547205837,0.34719627485392257
TLC4,emp_total_jobs,0.007266703278558717,0.006598714137664663,0.0006679891408940541,1001654.2804461094,985179.0888456808,1.6447982025385999
TLC4,gdhi_total_mn_gbp,0.030797601163006005,0.03092028748909792,-0.0001226863260919142,86954.2196407078,87223.70367017719,-0.3099148386160877
TLC4,nominal_gva_mn_gbp,0.03102288377660778,0.02939669949502899,0.0016261842815787908,110005.78857200098,105582.43546104377,4.021018501278261
TLC4,population_16_64,0.000567756442012568,-8.502246649744194e-05,0.00065277890851001,1261250.3101604283,1255335.6152412784,0.46895488322199474
TLC4,population_total,0.0012909214684038162,-2.655478008040113e-05,0.0013174762484842173,2041049.6759165137,2036228.6431388003,0.2362035983052957
TLD1,emp_total_jobs,0.005479959234716336,0.005602080795707121,-0.00012212156099078442,273967.1121480887,274800.19936143566,-0.3040829268940337
TLD1,gdhi_total_mn_gbp,0.032202239772940455,0.03241499255399005,-0.0002127527810495966,26623.944845134913,26766.99078641591,-0.5372830439405618
TLD1,nominal_gva_mn_gbp,0.03030609583311339,0.029625149736949075,0.0006809460961643143,31371.127930166913,30836.482085464504,1.7042608282767047
TLD1,population_16_64,-0.0008576999616970449,-0.0007050142889422073,-0.00015268567275483758,295953.91443850286,297086.658126501,-0.382743269386121
TLD1,population_total,0.001217906380210465,0.0011177791825611738,0.00010012719764929123,521687.5751528001,522518.03628156194,-0.15918744634058068
TLD3,emp_total_jobs,0.0186522293320317,0.014824378325202003,0.0038278510068296967,2375566.6532641808,2162175.8160796072,8.982734156979378
TLD3,gdhi_total_mn_gbp,0.03403580441149234,0.03408420393870215,-4.839952720980811e-05,140678.43273204885,140849.73398110975,-0.12176795386054096
TLD3,nominal_gva_mn_gbp,0.039182325645366944,0.0344853104310765,0.004697015214290445,251141.63903242722,230183.141588081,8.345289743705175
TLD3,population_16_64,0.004754126761777888,0.0035245503061516192,0.001229576455626269,2111995.7906799084,2087753.0538288706,1.1478591462170118
TLD3,population_total,0.005120473276117199,0.003672448396510264,0.001448024879606935,3306373.7674472714,3282019.5138266087,0.7365850122705853
TLD4,emp_total_jobs,0.006570151568894067,0.006590992566010367,-2.0840997116300386e-05,781887.9883895825,782292.8129976288,-0.05177526884383443
TLD4,gdhi_total_mn_gbp,0.032553855267675624,0.03273503832746072,-0.00018118305978509497,72489.36498105252,72820.80533788046,-0.45722618333678966
TLD4,nominal_gva_mn_gbp,0.03085209533686739,0.029669072899411564,0.0011830224374558274,89138.41812743117,87514.13199699341,1.8222065912317342
TLD4,population_16_64,0.002541964225240667,0.0016926291398997595,0.0008493350853409076,1018784.2681436215,1014790.8859456846,0.39197525156267066
TLD4,population_total,0.0033190833282945587,0.001983040146841697,0.0013360431814528617,1680027.2111219326,1674551.8834587,0.32590708215827213
TLD6,emp_total_jobs,0.015720900304751373,0.01360735008219427,0.0021135502225571035,807385.8265696464,766417.0823857943,5.074246145478756
TLD6,gdhi_total_mn_gbp,0.03603210336573115,0.035902324959225185,0.00012977840650596484,63203.500112533984,62997.97550481057,0.32517915520101637
TLD6,nominal_gva_mn_gbp,0.038023278706925456,0.03515452289758336,0.002868755809342094,106378.78687262406,98993.20775787806,6.942717934534592
TLD6,population_16_64,0.0029367412367118373,0.002216353326269349,0.0007203879104424882,645921.8930481286,642837.0574494222,0.47758647475919513
TLD6,population_total,0.0050656687533494615,0.003938519683526209,0.0011271490698232522,1114974.3726306679,1106900.1653140052,0.7241607982085174
TLD7,emp_total_jobs,0.012248102411839046,0.011745427979511947,0.0005026744323270993,934728.2015330973,923192.6247055746,1.234110280250733
TLD7,gdhi_total_mn_gbp,0.0307740684294584,0.03111530643921312,-0.0003412380097547185,69334.60257886039,69933.86287076793,-0.8643019064340285
TLD7,nominal_gva_mn_gbp,0.033292304307146026,0.03234990245019054,0.0009424018569554882,96966.72610735011,94693.37892391653,2.344461110213003
TLD7,population_16_64,0.0011060213842735145,0.0004032363096009295,0.000702785074672585,1011695.1657754018,1010955.8522063512,0.073076712636444
TLD7,population_total,0.0007014226920067923,-0.000681607188717126,0.0013830298807239183,1567641.4215106498,1572022.2143390013,-0.279451204098069
TLE1,emp_total_jobs,0.0072200798290567025,0.006848312792339328,0.0003717670367173742,485019.2099725399,480563.43706121785,0.9186796769501848
TLE1,gdhi_total_mn_gbp,0.0317978217431627,0.03200620397922638,-0.00020838223606367556,42811.580104580644,43036.95080691874,-0.5264246304097275
TLE1,nominal_gva_mn_gbp,0.031423402850377924,0.030343744561593722,0.0010796582887842021,56368.64985196346,54988.44575296876,2.4485314135063163
TLE1,population_16_64,0.0014700522815416228,0.0015067400079493698,-3.668772640774698e-05,604570.2093200918,605124.1464979607,-0.09162495427816886
