region_code,metric,year,value,ci_lower,ci_upper,ci_width
TLN06,gdhi_per_head_gbp,2026,21224.073693200946,19657.096592153935,22825.433211881827,3168.336619727892
TLJ28,gdhi_per_head_gbp,2031,34848.945930878406,33005.30685079417,36795.568603055224,3790.2617522610526
TLM95,gdhi_per_head_gbp,2042,41560.61200325594,38322.415333584846,45072.432284074246,6750.0169504894
TLN06,gdhi_per_head_gbp,2027,21909.184143438586,20331.825654353837,23608.91530310311,3277.089648749272
TLM95,population_total,2045,339241.01230239944,335530.126937365,342992.93919869117,7462.81226132618
TLJ28,gdhi_per_head_gbp,2027,30879.907254153295,29246.245107927818,32604.82391863091,3358.578810703093
TLN06,gdhi_per_head_gbp,2028,22618.962413615624,20990.503218429643,24373.75871100386,3383.255492574215
TLN06,gdhi_per_head_gbp,2032,25779.453332738456,23923.453616266266,27779.44291801454,3855.9893017482755
TLN06,gdhi_per_head_gbp,2033,26639.598696748162,24721.67254874457,28706.319013185966,3984.6464644413973
TLM95,population_total,2046,339447.4633513526,335734.3196621522,343201.6735483515,7467.3538861993
TLN06,gdhi_per_head_gbp,2034,27528.874360981536,25546.92453647172,29664.58535941521,4117.66082294349
TLN06,gdhi_per_head_gbp,2031,24947.508455465275,23151.40486775927,26882.955124776687,3731.5502570174176
TLI75,gdhi_per_head_gbp,2039,62911.842447264695,57423.431901282755,68924.82370112468,11501.391799841927
TLN06,gdhi_per_head_gbp,2025,20597.602121006887,19026.705405727284,22093.435388312926,3066.7299825856426
TLN06,gdhi_per_head_gbp,2029,23364.64308923718,21682.498383165093,25177.28986025399,3494.7914770888965
TLM95,gdhi_per_head_gbp,2041,40218.36825995991,37084.752562751084,43616.770605567384,6532.0180428163
TLM95,gdhi_per_head_gbp,2046,47385.495348742406,43693.45267100245,51389.51106365293,7696.058392650477
TLI75,gdhi_per_head_gbp,2038,60720.26463079805,55423.04668595979,66523.77949781939,11100.732811859598
TLJ28,gdhi_per_head_gbp,2037,41964.01224837637,39743.959650754216,44308.07447109668,4564.114820342467
TLJ28,gdhi_per_head_gbp,2038,43286.41215241916,40996.399672870335,45704.342136878964,4707.942464008629
