region_code,region,year,metric,value,ci_lower,ci_upper,formula,method,data_type
E12000001,North East,2024,income_per_worker_gbp,48447.33597104195,46738.587338685495,50218.748770290265,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2025,productivity_gbp_per_job,65564.56120331788,57083.69157488187,73695.46009405983,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2025,income_per_worker_gbp,50516.14749487844,48724.900097399535,52314.90003864987,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2026,productivity_gbp_per_job,66853.8311084696,56518.744014707845,76547.95710845182,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2026,income_per_worker_gbp,52005.29361808781,49810.02545917523,54244.94846487488,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2027,productivity_gbp_per_job,67797.86930628649,55624.50396836298,79366.65195576038,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2027,income_per_worker_gbp,53588.60900253973,50988.3657181295,56187.36986234384,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2028,productivity_gbp_per_job,68795.84181320577,55278.3285749915,81826.57179332359,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2028,income_per_worker_gbp,55170.28863432324,52089.332673581885,58206.75534371397,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2029,productivity_gbp_per_job,69807.610269306,54388.52633747965,84017.94710836487,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2029,income_per_worker_gbp,56821.20091648451,53401.55502438171,60269.47609217496,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2030,productivity_gbp_per_job,70627.89438542083,53701.44215736469,86343.79132941207,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2030,income_per_worker_gbp,58623.789559741854,54798.96239466211,62397.51178537132,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2031,productivity_gbp_per_job,71677.63778546239,53155.65617930871,88738.44913011962,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2031,income_per_worker_gbp,60552.228207614746,56288.71842908693,64778.91286506129,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2032,productivity_gbp_per_job,73002.58212306471,53413.127720692224,91387.89560953363,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2032,income_per_worker_gbp,62672.39832889132,58050.499674933,67379.7980993852,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2033,productivity_gbp_per_job,74418.40128100627,53392.29321103701,94085.68779891432,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2033,income_per_worker_gbp,64907.53255982115,59772.00406074442,70033.20683037923,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2034,productivity_gbp_per_job,75660.40394859269,52902.52740343716,96592.45857444682,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2034,income_per_worker_gbp,67099.70507429102,61606.382132889106,72764.47722667847,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2035,productivity_gbp_per_job,76758.26526764662,52315.51692534462,98781.26052195628,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2035,income_per_worker_gbp,69293.66461773706,63322.621254330974,75233.64764986245,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2036,productivity_gbp_per_job,77898.1031660311,52364.942363727576,101932.08002564321,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2036,income_per_worker_gbp,71450.06472492478,65113.64575029503,77896.68589191168,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2037,productivity_gbp_per_job,78990.6993925583,51627.3400734954,103452.0534303182,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2037,income_per_worker_gbp,73631.16662600238,66906.11874005939,80479.68516943172,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2038,productivity_gbp_per_job,80389.47520045002,51702.388390768916,106296.8880136555,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2038,income_per_worker_gbp,76063.00960897605,68789.42167725394,83555.86734549845,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2039,productivity_gbp_per_job,81940.42497813626,51473.28973589501,109799.3268118815,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2039,income_per_worker_gbp,78577.3077935521,70754.79773855362,86372.16300340788,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2040,productivity_gbp_per_job,83435.31316346371,51219.00064931819,111626.73118388279,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2040,income_per_worker_gbp,81340.61370543721,73090.7568633531,89847.29332508032,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2041,productivity_gbp_per_job,84880.710345384,50984.4397577175,114426.6331573529,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2041,income_per_worker_gbp,83942.28902306332,75335.84672090835,92787.56550522216,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2042,productivity_gbp_per_job,86083.40368200417,50586.92014110214,117352.18756093706,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2042,income_per_worker_gbp,86746.48916585319,77359.09860493032,96232.1712934578,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2043,productivity_gbp_per_job,87743.51740823568,50418.52571038246,120527.02117768684,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2043,income_per_worker_gbp,89401.8970694985,79464.1916543402,99552.02647132365,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2044,productivity_gbp_per_job,89399.22779184853,51380.179021112395,123210.11356518479,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2044,income_per_worker_gbp,92114.1698110272,81674.71151274015,102931.21318043835,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2045,productivity_gbp_per_job,90429.8981370985,49709.34561257288,126372.31336376039,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2045,income_per_worker_gbp,95041.34645744093,83774.3397816527,106493.71628390248,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2046,productivity_gbp_per_job,92667.99064790615,49913.38964458864,130089.98877787923,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2046,income_per_worker_gbp,98163.9399314014,86541.6237933293,110154.06558635282,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2047,productivity_gbp_per_job,94440.57039969401,50592.41170980165,133162.5394042729,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2047,income_per_worker_gbp,101325.32941151255,89110.53173227946,114087.74891158818,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2048,productivity_gbp_per_job,96365.76455356393,49966.18385661371,136925.78780869822,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2048,income_per_worker_gbp,104660.89703597502,91854.51396424272,117875.79488228165,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2049,productivity_gbp_per_job,97272.61515825568,48398.17712053481,139796.88797142127,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2049,income_per_worker_gbp,108134.9888987087,94713.42660421565,122292.94460346595,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
