metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
uk_emp_total_jobs,,,,,,,,,,,,,,,,,,,26643000.0,26581000.0,26593000.0,26753000.0,27096000.0,27932000.0,28739000.0,29214000.0,29543000.0,29724000.0,30072000.0,29498000.0,30306000.0,30934000.0,31333000.0,31476000.0,31914919.372558784,32220153.410944328,32483080.207903028,32758442.39314352,33038935.146384213,33280828.12625016,33452694.767734766,33566934.533718355,33672588.95250954,33820398.69063042,34029308.48763533,34277384.21821081,34520492.32797788,34723871.040680215,34884508.47072911,35029863.37163337,35197259.88956141,35408191.009586684,35656263.21614286,35914067.94274644,36152750.56824665,36360576.31442995,36548569.63795623,36740859.582700536,36957701.60272425,37202920.03439458
uk_employment_rate_pct,,,,,,,,,,,,,,,72.5,72.4,72.5,72.6,71.3,70.2,70.0,70.0,70.8,71.7,72.9,73.6,74.2,74.9,75.5,75.8,74.3,75.4,75.5,75.3,75.4,75.61985460627726,75.52247159540323,75.26663179861444,74.94589857303359,74.61390343272178,74.29992200900956,74.01852126451958,73.77554581802771,73.57182479400424,73.4054517327837,73.27316924761067,73.17119260502511,73.09568332902165,73.04300649160564,73.00985628156326,72.99339066036163,72.99097431917184,73.00039611412508,73.01977809019047,73.04753315501628,73.08232461182914,73.12302922079444,73.16870445435669,73.21856003379439,73.27193352055747
uk_gdhi_per_head_gbp,,,,,,,10595.575019752032,10813.657398520252,11298.414824771144,11888.822932895924,12353.303035663077,12642.62513169015,13022.19094690444,13555.630788163355,14037.82506348439,14617.82567590457,15296.855016159327,15694.917482550238,15963.415383554828,16110.671832464577,16270.437556870573,16869.625487260404,17506.113866176613,18060.826454660728,19003.8840039198,19227.845886466115,19677.297529396663,20406.755035589555,21015.899634365727,20978.22580317698,21729.3478567914,22895.21751790249,24741.448097291515,24903.356546801224,25815.49311821364,26676.510567048084,27567.523887779207,28489.573195212717,29443.73438226011,30431.12033186723,31452.882169548127,32510.210557871822,33604.33703428737,34736.53539371682,35908.12311740122,37120.46284952131,38374.96392317747,39673.0839373546,41016.33038655763,42406.262344856426,43844.49220613571,45332.687482405454,46872.572662086146,48465.93113024945,50114.60715285564,51820.50792710018,53585.60570004543,55411.93995779319,57301.61968751842,59256.82571476551
uk_gdhi_total_mn_gbp,,,,,,,617873.0,632328.0,663041.0,700086.0,730241.0,750538.0,776600.0,812665.0,848071.0,889158.0,937989.0,970319.0,993890.0,1011097.0,1029677.0,1074773.0,1122811.0,1167067.0,1236905.0,1261459.0,1297999.0,1352697.0,1400237.0,1400084.0,1455388.0,1548544.0,1695437.0,1725340.3276857466,1793781.2779819735,1864895.2242320953,1938785.0379471194,2015557.4958508257,2095323.426283133,2178197.8610308445,2264300.1927848514,2353754.3384303735,2446688.908384312,2543237.3822012986,2643538.290678589,2747735.40469776,2855977.9310503164,2968420.715502976,3085224.4533677725,3206555.907851904,3332588.136472059,3463500.7258282946,3599480.0350435073,3740719.448185267,3887419.6359986775,4039788.8272906174,4198043.090317927,4362406.624545483,4533112.063152682,4710400.786680967
uk_nominal_gva_mn_gbp,,,,,,,,887891.0,922815.0,967452.0,1011368.0,1054818.0,1115143.0,1170386.0,1237594.0,1302547.0,1367553.0,1415110.0,1391616.0,1425050.0,1458138.0,1508290.0,1568070.0,1643112.0,1698525.0,1764123.0,1842009.0,1900108.0,1977202.0,1884947.0,2029101.0,2228798.0,2434407.0,2526823.1971129803,2608434.3384490237,2682256.5458375113,2750949.8111481816,2816695.550177802,2881192.433299404,2945711.3969669505,3011172.4423030997,3078222.3880016627,3147303.6696645697,3218710.7390385508,3292634.0373996557,3369193.0671374546,3448460.5830746507,3530479.889003206,3615029.7407237636,3702347.6184461163,3792496.3693901747,3885513.9649577825,3981425.4804095794,4080250.9742507655,4182010.5314920694,4286727.367614476,4394429.625049459,4505151.303997262,4618932.634003762,4735820.096764663
uk_population_16_64,36695001.0,36690573.0,36676306.0,36704336.0,36798216.0,36923269.0,37053466.0,37192390.0,37395652.0,37618816.0,37877045.0,38136534.0,38388802.0,38689471.0,39111186.0,39501769.0,39898748.0,40218225.0,40428051.0,40683167.0,40944079.0,40917089.0,41004326.0,41148359.0,41352353.0,41583534.0,41705149.0,41820238.0,41952870.0,41998608.0,42137842.0,42487430.0,43057927.0,43523647.0,43769708.36074814,43919376.44946684,44068089.66575308,44215885.36503531,44362799.44136557,44508866.38458982,44654119.33528166,44798590.13752705,44942309.38964395,45085306.49291795,45227609.69843105,45369246.15205878,45510241.937706664,45650622.118855536,45790410.77848131,45929631.05741328,46068305.1911916,46206454.54548307,46344099.65011125,46481260.23175542,46617955.24537024,46754202.90437627,46890020.70966947,47025425.477495715,47160433.36623495,47295059.9021374
uk_population_total,57438658.0,57584530.0,57713889.0,57862145.0,58024799.0,58164374.0,58314249.0,58474943.0,58684427.0,58886065.0,59113016.0,59365677.0,59636662.0,59950364.0,60413276.0,60826967.0,61319075.0,61823772.0,62260486.0,62759456.0,63285145.0,63710543.0,64138221.0,64618693.0,65086958.0,65605841.0,65964292.0,66286727.0,66627507.0,66739867.0,66977988.0,67636134.0,68526183.0,69281437.0,69484679.98530714,69907764.71851195,70328588.29974899,70747198.70459528,71163643.81909274,71577971.40810004,71990229.08549502,72400464.28614871,72808724.23960908,73215055.94542748,73619506.15005884,74022121.3252785,74422947.64804667,74822030.98176669,75219416.85887384,75615150.46470103,76009276.62256488,76401839.78001636,76792883.99621004,77182452.93033357,77570589.83105615,77957337.52694383,78342738.41779804,78726834.46687287,79109667.19392918,79491277.66908441
uk_unemployment_rate_pct,,,,,,,,,,,,,,,4.8,5.3,5.3,5.1,6.8,7.7,7.7,8.1,7.8,6.8,5.7,5.1,4.6,4.2,4.0,3.9,5.0,3.8,3.7,3.7,4.0,3.8476444336544793,3.87295739868018,3.9709607321106764,4.088469517494558,4.200122762430884,4.295239255730475,4.370645455202864,4.426799712388953,4.46573295799286,4.489985682424036,4.502086424891002,4.504319974077443,4.498646480580244,4.486695616599269,4.469794921584208,4.448944564791588,4.425057017308095,4.398814966155712,4.37074967192664,4.341273569704779,4.310706306833534,4.279295328737868,4.247232038002332,4.214664413849872,4.18170683129975
