region_code,metric,year,value,ci_lower,ci_upper,ci_width
TLD73,emp_total_jobs,2046,116804.66058815063,84158.70949875956,145913.33410275166,61754.624603992095
TLD73,emp_total_jobs,2047,116514.18682759933,82351.79888571729,150933.1636714828,68581.3647857655
TLD73,emp_total_jobs,2048,116221.31396612366,86123.97175760742,148456.62736629733,62332.65560868991
TLD73,emp_total_jobs,2049,115925.85285127001,81529.32780632615,148551.15047109855,67021.8226647724
TLD73,emp_total_jobs,2050,118689.55012157734,87203.87952826101,150483.3023687905,63279.422840529485
TLD73,employment_rate_pct,2024,75.65980040787069,71.1972567767562,79.87847798296342,8.681221206207212
TLD73,employment_rate_pct,2025,75.9569191774158,69.51633317334407,82.19833068772255,12.68199751437848
TLD73,employment_rate_pct,2026,76.25289941642363,68.46303460468754,83.84177731947672,15.378742714789183
TLD73,employment_rate_pct,2027,76.54774681754687,67.7259632830763,84.93958619769475,17.213622914618455
TLD73,employment_rate_pct,2028,76.84146704497495,66.58770547446696,86.56607206526344,19.978366590796483
TLD73,employment_rate_pct,2029,77.13406573457632,66.92718545696384,87.6024578234083,20.67527236644446
TLD73,employment_rate_pct,2030,77.42554849404016,65.03764700860641,89.35327625654476,24.315629247938347
TLD73,employment_rate_pct,2031,77.71592090301714,65.70990126900095,89.37372682644907,23.66382555744812
TLD73,employment_rate_pct,2032,78.00518851325965,66.07167728824108,91.00422216254437,24.93254487430329
TLD73,employment_rate_pct,2033,78.29335684876143,65.1889835692034,92.0,26.8110164307966
TLD73,employment_rate_pct,2034,78.58043140589614,63.208886570271034,92.0,28.791113429728966
TLD73,employment_rate_pct,2035,78.86641765355562,65.38860131018559,92.0,26.611398689814408
TLD73,employment_rate_pct,2036,79.15132103328725,62.05040872970775,92.0,29.949591270292252
TLD73,employment_rate_pct,2037,79.43514695943065,63.683148641891535,92.0,28.316851358108465
TLD73,employment_rate_pct,2038,79.71790081925383,61.1252317371474,92.0,30.874768262852598
TLD73,employment_rate_pct,2039,79.99958797308832,63.14986731238254,92.0,28.85013268761746
TLD73,employment_rate_pct,2040,80.2802137544641,61.8367809708428,92.0,30.163219029157197
TLD73,employment_rate_pct,2041,80.55978347024343,62.90394073368116,92.0,29.09605926631884
TLD73,employment_rate_pct,2042,80.83830240075433,61.16247415061375,92.0,30.837525849386253
TLD73,employment_rate_pct,2043,81.11577579992313,62.89297717767738,92.0,29.10702282232262
TLD73,employment_rate_pct,2044,81.39220889540651,60.25829409447386,92.0,31.74170590552614
TLD73,employment_rate_pct,2045,81.66760688872294,59.33464264536104,92.0,32.66535735463896
TLD73,employment_rate_pct,2046,81.94197495538323,58.99661153419961,92.0,33.00338846580039
TLD73,employment_rate_pct,2047,82.2153182450207,62.88014813968404,92.0,29.11985186031596
TLD73,employment_rate_pct,2048,82.4876418815204,62.34382517679068,92.0,29.65617482320932
TLD73,employment_rate_pct,2049,82.75895096314807,59.34217822374056,92.0,32.65782177625944
TLD73,employment_rate_pct,2050,83.02925056267803,61.9277170656796,92.0,30.0722829343204
TLD73,gdhi_per_head_gbp,2024,21619.613579658395,20880.226979593295,22317.04658897937,1436.8196093860752
TLD73,gdhi_per_head_gbp,2025,22065.913577108222,21060.08606715348,23052.9715525692,1992.8854854157216
TLD73,gdhi_per_head_gbp,2026,22501.259158438086,21338.284043595533,23687.92080209503,2349.636758499495
TLD73,gdhi_per_head_gbp,2027,23178.883051383964,21773.966102540664,24600.87321054236,2826.9071080016947
TLD73,gdhi_per_head_gbp,2028,24013.984530083144,22504.906182762563,25521.053245506726,3016.147062744163
TLD73,gdhi_per_head_gbp,2029,24890.164875955732,23186.011150108476,26580.75420123673,3394.7430511282546
TLD73,gdhi_per_head_gbp,2030,25791.248549741253,24073.295826998776,27645.543924388116,3572.24809738934
TLD73,gdhi_per_head_gbp,2031,26675.99419590154,24526.880348900224,28792.316804249916,4265.436455349693
TLD73,gdhi_per_head_gbp,2032,27496.93729362495,25637.888430022704,29429.65130954567,3791.762879522965
TLD73,gdhi_per_head_gbp,2033,28437.0875383252,26294.95294152881,30516.424223861475,4221.471282332666
TLD73,gdhi_per_head_gbp,2034,29362.420582513303,27138.32346933156,31467.65925519174,4329.335785860178
TLD73,gdhi_per_head_gbp,2035,30327.333955103393,27903.21573951289,32709.95445111468,4806.738711601793
