region,region_code,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Bedfordshire and Hertfordshire,TLH2,emp_total_jobs,,,,,,,,,,,,,,,,,,,755000.0,748000.0,754000.0,755000.0,781000.0,820000.0,843000.0,878000.0,905000.0,907000.0,910000.0,908000.0,936000.0,924000.0,958000.0,956000.0,1001300.7070908066,1018526.006590681,1036024.6130829222,1053800.3621144446,1071857.1327429675,1090198.8478342947,1108829.4743582427,1127753.0236831652,1146973.5518689996,1156754.0162371933,1173698.483328653,1190630.478292518,1207561.1821108235,1224501.2065821786,1241460.6165125773,1258448.9525842129,1275475.2545689703,1292548.084611665,1309675.5503587802,1326865.3277515997,1344124.6833398321,1350851.4788408254,1353131.7868439534,1355383.8486869493,1357607.4203609864,1395810.5083101264
Bedfordshire and Hertfordshire,TLH2,employment_rate,,,,,,,,,,,,,,,,,,,44.48542733997767,43.58418127290282,43.40944955781661,42.96419972491531,43.866497566279975,45.45474702770301,46.16570036324685,47.4646420852439,48.68318703273554,48.543793245187366,48.35695295931267,47.95010654112329,49.07450516540625,48.060993770275736,48.988825638644514,48.1337110184912,50.242469920375264,50.671255688047864,50.96800331757183,51.26216112510418,51.60354850644085,51.96656027699721,52.36322646246523,52.785278939492116,53.2180794622175,53.201393348354166,53.494645601056156,53.80663678657649,54.10857244496372,54.436612694212236,54.72480475766115,55.058497273480775,55.33331883420133,55.64776096007979,55.961499725731635,56.26777501089413,56.54876846553343,56.467271145014934,56.1566934626192,55.84403599128266,55.54551133939103,56.70898725678482
Bedfordshire and Hertfordshire,TLH2,gdhi_per_head_gbp,,,,,,,12239.688444294145,12490.507087192085,12865.377413245067,13673.407143457813,14313.412088696758,14686.978877153975,14963.101635975658,15373.323530626167,15870.345583611266,16506.689185538464,17301.753993429593,17685.90428965733,18123.539861594345,18208.049205841446,18257.876310703425,18915.060061674965,19783.172564398377,20450.7558791835,21642.56795202272,21871.57732898403,22422.23869501086,23256.062889634857,23809.688288955644,23547.304522782902,24438.684132157225,25830.703589022327,27904.198720767785,27718.084713794353,28589.887033083178,29693.68990303352,30566.68168526695,31451.685789558094,32316.536843104866,33304.921547181104,34312.207219898526,35344.68069312763,36412.854795377745,37549.295768849406,38698.79703840278,39943.16023791318,41189.54713714264,42456.68310666538,43707.00437770129,45047.45226034765,46522.390646902204,48048.14485861198,49403.49018015803,50903.27742348898,52539.301880970816,54223.5293657851,55909.162849509376,57740.066055432864,59498.86335267561,61436.24432675169
Bedfordshire and Hertfordshire,TLH2,gdhi_total_mn_gbp,,,,,,,19074.0,19605.0,20371.0,21788.0,22952.0,23674.0,24234.0,24946.0,25943.0,27190.0,28766.0,29725.0,30759.0,31249.0,31713.0,33239.0,35222.0,36893.0,39520.0,40458.0,41682.0,43452.0,44806.0,44590.0,46612.0,49661.0,54568.0,55051.830464947234,57043.43134076492,59678.58252011716,62101.74866331664,64598.20472047246,67190.27707137214,69881.4349391429,72675.26576267942,75575.47893141271,78585.90962737022,81710.52277723912,84953.41711721632,88318.82937347762,91811.13856116787,95434.87040486322,99194.70188352896,103095.46590305673,107142.15609952538,111339.9317763968,115694.12297893097,120210.23570915726,124893.95728482622,129751.16184581883,134787.9160115672,140010.48469312358,145425.33706356812,151039.15269053093
Bedfordshire and Hertfordshire,TLH2,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,40740.39735099338,41776.737967914436,42059.68169761273,44025.165562913906,45098.59154929577,44991.46341463415,46880.18979833926,46079.72665148064,46057.45856353591,47907.386990077175,49237.36263736264,49107.9295154185,49799.1452991453,53745.670995671,56960.33402922756,57585.5967206561,56976.64839430181,58570.25462924266,59930.45038295163,61315.47055272394,62716.43635531993,64080.91601821175,65382.8201819952,66885.1046227698,68488.08885996838,70611.01525338067,72335.24981146556,74294.9054141384,76034.10022790791,77908.09000451304,79843.20330812024,81980.60484119158,83912.22463625362,86027.58002709651,88432.08463200016,90526.00151900682,92688.03268642368,95914.33981969627,99445.77896763182,103260.229851307,107155.29762215656,108265.86088161048
Bedfordshire and Hertfordshire,TLH2,nominal_gva_mn_gbp,,,,,,,,26313.0,27798.0,29354.0,30700.0,31770.0,33573.0,34672.0,37054.0,38027.0,39793.0,42055.0,40237.0,39803.0,39731.0,40531.0,43271.0,46326.0,48253.0,50411.0,54406.0,55558.0,57768.0,54293.0,59117.0,62996.0,68887.0,70272.73949668491,73638.86727370137,76442.6007558365,79314.99728433804,82265.16362528561,85301.12966899115,88430.0279817896,91658.27299590678,94991.72362684767,98435.82332501248,99168.73140119456,102423.74829958648,105778.94640142235,109237.896579399,112804.10636910675,116481.05805944293,120272.23851424591,124181.16254751211,128211.39131038467,132366.5468427088,136650.32369243543,141066.49830588777,145618.93673321677,150311.60106874022,155148.55494872242,160133.9683538089,165272.12190514538
Bedfordshire and Hertfordshire,TLH2,population_total,1513925.0,1522883.0,1527911.0,1535544.0,1542147.0,1547857.0,1558373.0,1569592.0,1583397.0,1593458.0,1603531.0,1611904.0,1619584.0,1622681.0,1634684.0,1647211.0,1662606.0,1680717.0,1697185.0,1716219.0,1736949.0,1757277.0,1780402.0,1803992.0,1826031.0,1849798.0,1858958.0,1868416.0,1881839.0,1893635.0,1907304.0,1922557.0,1955548.0,1986134.0,1993253.8085847846,2009904.42484242,2032720.4594112048,2055613.646754516,2077207.3710089182,2097989.527021715,2117380.549874163,2136675.6496520783,2155844.7569650216,2174897.9539176826,2193820.45660199,2212615.046979319,2231274.017477179,2249797.4232792906,2268180.972788118,2286423.8676573164,2304523.571760389,2322479.171478788,2340289.1120676934,2357952.6328175003,2375468.7840815573,2392837.0364538576,2410056.851039595,2427127.935080246,2444050.0516921864,2460823.124728224
Bedfordshire and Hertfordshire,TLH2,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,53294.03973509934,53212.566844919784,52693.63395225464,53683.44370860927,55404.60947503201,56495.12195121951,57239.620403321474,57415.717539863326,60117.127071823204,61254.68577728776,63481.318681318684,59794.052863436125,63159.18803418803,68177.48917748917,71907.0981210856,73507.0496827248,73540.3906350871,75073.78114315447,76604.86346075573,78131.67114459802,79661.95635941399,80836.68670941838,82603.52823646396,84188.1498649953,85991.7243905824,85719.3480321501,87345.17976280331,88891.73983859047,90475.57243602749,92211.50040214314,93745.49005622495,95314.36327346096,97428.80872203864,99688.6358582784,100921.96734300177,102453.94627551975,104888.84050753317,107506.15381178004,111297.1869250476,114031.08358148899,117967.16292638457,117976.56605317816
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,emp_total_jobs,,,,,,,,,,,,,,,,,,,1121000.0,1138000.0,1133000.0,1141000.0,1166000.0,1198000.0,1254000.0,1297000.0,1278000.0,1296000.0,1322000.0,1295000.0,1300000.0,1361000.0,1381000.0,1381000.0,1437385.686812307,1464195.6884454554,1493094.9172211438,1522854.7028116111,1553976.8818050772,1586120.0611329183,1618558.8875301308,1650927.665902357,1683509.3137549472,1702541.9256970936,1732696.016220211,1763216.9326960011,1793684.0179182703,1823899.5934432552,1854048.6382991578,1884477.5608491795,1915357.971118171,1946566.416055699,1977857.950064064,2009123.4144793004,2040477.6762681312,2055978.5755835345,2064874.211689017,2073785.60863467,2082565.403844623,2146525.379235791
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,employment_rate,,,,,,,,,,,,,,,,,,,50.25332877870514,50.47619723507537,49.798410934025675,49.512619642840875,49.95315285364883,50.699359148250764,52.43645529562202,53.58193367572891,52.412212619696085,52.731456918074194,53.3936253181101,51.95353308096086,51.56211390388267,53.276108816354395,53.10043480066381,52.3066236244892,54.334338724983155,54.92941065538402,55.47275478826281,55.93722390960063,56.48535576570761,57.075411765336504,57.682250174711754,58.27759427554155,58.86778932747335,59.02643536811076,59.477306997808576,60.020228544921736,60.52469200589975,61.02248858083884,61.477700128184466,61.90812343895884,62.43671134240506,62.90993135011511,63.40774336698169,63.879328895505935,64.40435509124897,64.35157877561602,64.10148763050583,63.85422785549893,63.655877255350205,65.13537722093973
